outcome,specification,calendar_block_days,term,coefficient,hac_se,block_wild_low,block_wild_high,n,r_squared,design_condition_number,rank
log_orders,year_only,7,intercept,2.4266563421725236,0.2084994544085391,2.039253276822475,2.7824426919352674,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,7,year_2019,-0.7576458883371935,0.23572273310571581,-1.1920938277154187,-0.34561373085591635,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,7,year_2020,-0.7954217902429854,0.23270592559175193,-1.1845856278957334,-0.3473995589399103,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,7,year_2021,-1.1665997558193602,0.23630349156073327,-1.6145249053769137,-0.7453965827664404,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,14,intercept,2.4266563421725236,0.26801521069751943,1.9130591784853141,2.8972580703814836,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,14,year_2019,-0.7576458883371935,0.2985839840465889,-1.345743677038501,-0.19414352749683272,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,14,year_2020,-0.7954217902429854,0.29228380171467433,-1.3270568986224682,-0.26926511697286526,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,14,year_2021,-1.1665997558193602,0.3017976360737028,-1.6728446422786702,-0.5699283679313542,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,28,intercept,2.4266563421725236,0.336061137947127,1.7585880393897524,3.022874208391159,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,28,year_2019,-0.7576458883371935,0.3726036943718256,-1.440426175190864,-0.051100930684943396,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,28,year_2020,-0.7954217902429854,0.3593658911627171,-1.4417833218887388,-0.0886831410397223,1389,0.08622265635589277,5.168610616065579,4
log_orders,year_only,28,year_2021,-1.1665997558193602,0.37914715565138063,-1.8798965467991573,-0.4371028564269224,1389,0.08622265635589277,5.168610616065579,4
log_orders,market_adjusted,7,intercept,8.256642928509448,1.462653559926514,5.460963888385922,11.128601304798558,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,7,year_2019,-0.8378738293582425,0.19107464756694253,-1.1583847528411289,-0.48644431400374905,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,7,year_2020,-0.551498855791744,0.21560206033890114,-0.9478720444377708,-0.12365226977222717,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,7,year_2021,-0.24888701118103682,0.3487604806314171,-0.8903955299998426,0.5013115006094073,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,7,log_price,-0.6067435306005469,0.16314930489632262,-0.9331190906527734,-0.29632431319511643,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,7,log_vol,1.0041356319646444,0.1974171547046375,0.6160720229538579,1.3914806174881273,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,7,lag_return_30d,0.6175530678684839,0.24389807359382004,0.15570386316528426,1.0497921320897756,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,14,intercept,8.256642928509448,1.6837892169027568,4.840433993176503,11.337437801854547,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,14,year_2019,-0.8378738293582425,0.23411590112421837,-1.2951888856602451,-0.4108066810600349,1389,0.1752859081599415,292.55371872101887,7
log_orders,market_adjusted,14,year_2020,-0.551498855791744,0.26605785946756877,-1.0587277816959972,-0.07592165283345997,1389,0.1752859081599415,292.55371872101887,7
