year,count,min,max,median
2018,300,0.0,534314.790140725,107879.5819127149
2019,365,455009.0657759166,2826786.230405941,1745375.5295746464
2020,366,2632995.5509719374,15422318.766714595,5256790.8524628915
2021,365,12267063.444412308,69911668.08947149,37601099.31628975
