event,control,distance,candidate_count
2019-04-02,2019-09-24,1.3736563195479428,102
2020-04-03,,,0
2020-10-21,2020-07-23,0.40327632499214355,64
2020-12-28,2020-01-18,1.129814797144755,21
2021-03-13,2021-08-08,0.84863644258167,14
2021-05-20,,,0
2021-10-13,,,0
