date,reference_equity_usd,reference_equity_btc,cash_flow_sat,orders,median_order_usd,lag_equity_usd,lag_price_usd,lag_rv30_ann,lag_return_30d,lagged_regime,year,peak_btc_gross_face_usd,peak_all_contract_reference_usd,btc_short_hours,peak_to_prior_equity,log_orders,log_size,log_capital,log_price,log_vol,year_2019,year_2020,year_2021
2018-03-05,1099.30318692705,0.0952547745000209,17244633,14,17000.0,,11462.5831975453,1.3050650548772498,0.3046303488943946,up_30d_gt10pct,2018,47000,47000.0,9.644335506388886,,2.70805020110221,9.740968623038354,,9.346843374775702,0.266252890012814,0.0,0.0,0.0
2018-03-06,793.2010045739103,0.07429038,0,19,10000.0,1099.30318692705,11540.6623205728,1.3006437348545814,0.2637467738235666,up_30d_gt10pct,2018,20000,20000.0,2.4668299655555552,18.193343053891468,2.995732273553991,9.210340371976184,7.002431791631876,9.353631931878995,0.262859322563378,0.0,0.0,0.0
2018-03-07,735.7039514695193,0.07429038,0,0,,793.2010045739103,10677.0352308591,1.2779700815746635,0.2941034391485795,up_30d_gt10pct,2018,0,0.0,0.0,0.0,0.0,,6.676076663127328,9.275850473869317,0.245272945332853,0.0,0.0,0.0
2018-03-08,1134.9857192568147,0.12164286,0,46,10000.0,735.7039514695193,9903.0850490941,1.1133117594580877,0.4458023967770352,up_30d_gt10pct,2018,20000,20000.0,0.7699267036111112,27.184847872641352,3.8501476017100584,9.210340371976184,6.60082779795753,9.20060160869952,0.10733914040049211,0.0,0.0,0.0
2018-03-09,1095.6695590567765,0.11809152,0,106,5000.0,1134.9857192568147,9330.47545295149,1.0672313090755492,0.2056990218924743,up_30d_gt10pct,2018,20000,20000.0,2.4222800119444448,17.621367089178833,4.672828834461906,8.517193191416238,7.034375347683761,9.141041252130506,0.06506773333841616,0.0,0.0,0.0
2018-03-10,801.0441769872126,0.0911669798431262,0,62,5000.0,1095.6695590567765,9278.13918439509,1.0654216108618138,0.2168697105062964,up_30d_gt10pct,2018,30000,30000.0,6.856734653055555,27.38051792351149,4.143134726391533,8.517193191416238,6.999120924837569,9.135416286750695,0.06337059956556032,0.0,0.0,0.0
2018-03-11,898.5405752351298,0.09444865,0,47,5000.0,801.0441769872126,8786.56042314436,1.0563521584469284,0.0691092028590432,range_30d_within10pct,2018,15000,15000.0,1.0620005775,18.72555900277077,3.871201010907891,8.517193191416238,6.685916097841176,9.080978608427321,0.0548216130686205,0.0,0.0,0.0
2018-03-12,35.03888932203202,0.00383027,4950000,54,5000.0,898.5405752351298,9513.53539976622,1.076598496849973,0.0985031482563296,range_30d_within10pct,2018,45000,45000.0,12.063204293611111,50.081210843733366,4.007333185232471,8.517193191416238,6.8007718640633374,9.160470842476972,0.07380653094271702,0.0,0.0,0.0
2018-03-13,5756.698067324703,0.628423239709959,41000000,173,15000.0,35.03888932203202,9147.89018059615,1.0849719022660995,0.0724004896357894,range_30d_within10pct,2018,130000,130000.0,3.625722309166667,3710.1632647430297,5.159055299214529,9.615805480084347,3.5564585681352234,9.121278550325988,0.08155409012816145,0.0,0.0,0.0
2018-03-14,5238.749501222291,0.63715257,41817608,33,30000.0,5756.698067324703,9160.54293278784,1.0670506409063614,0.1313881839989616,up_30d_gt10pct,2018,130000,130000.0,0.1620111455555555,22.582389849119636,3.5263605246161616,10.308952660644293,8.658119337117501,9.122660728050063,0.06489843221152344,0.0,0.0,0.0
2018-03-15,6455.224107812697,0.78069233,0,32,30000.0,5238.749501222291,8222.12723904149,1.083807025000857,-0.076960970299429,range_30d_within10pct,2018,60000,60000.0,1.1099814605555554,11.453114905761568,3.4965075614664802,10.308952660644293,8.563838104029978,9.014584242774895,0.08047986595287511,0.0,0.0,0.0
