year,gain_btc,gain_usd_eod_flow,incomplete_daily_rows,wallet_btc_fx_usd,prior_unrealised_fx_usd,gross_btc_contracts_usd,gross_alt_contracts_usd,fee_credit_usd,funding_credit_usd,unrealised_change_usd,unallocated_gap_usd,gross_btc_contracts_btc,gross_alt_contracts_btc,fee_credit_btc,funding_credit_btc,unrealised_change_btc
2018,191.86589053038756,754801.4680868736,2,-93063.76548845082,2812.289002697222,1048204.2074459251,-2833.103822127159,-174469.06220358674,-23048.73394703417,-2800.362900549909,1.1641532182693481e-10,229.58919494000003,2.931969689999999,-35.60770056,-5.050808000000001,0.003234460387574245
2019,515.2637709009337,4216084.399223566,0,554674.968899485,57820.04288631033,3871702.850041316,23647.037499259524,-218380.6995078516,-15545.97303875322,-57833.82755619942,0.0,534.47275743,11.308954029999999,-24.209509759999996,-6.3049370300000005,-0.00349376906635257
2020,756.2133314585935,18707160.47840422,0,13598169.654972501,35452.81589561407,3707258.0036398447,1778286.526362612,-322297.16582710994,107034.16079538129,-196743.51743462583,3.725290298461914e-09,735.34028496,76.82615849,-40.23637453,-10.15952903,-5.55720843140648
2021,2132.1120021928027,103367805.88744786,0,26542006.18214569,1045420.5132897813,35315799.295810506,27841628.8984724,835368.3515853506,9977934.97437825,1809647.6717658807,1.4901161193847656e-08,944.5206327000001,930.8535213800001,21.97794482,171.09071498999998,63.669188302802695
