time,PriceUSD
2021-06-27,14.9239506948201
2021-06-28,15.7036140042922
2021-06-29,16.2385450816782
2021-06-30,16.3217463019492
2021-07-01,15.2280069532254
2021-07-02,15.2878320007631
2021-07-03,15.4288741825139
2021-07-04,16.0446189701806
2021-07-05,15.333893124155
2021-07-06,16.0160006793353
2021-07-07,16.8429573215431
2021-07-08,15.3241545780685
2021-07-09,15.7150665592498
2021-07-10,15.3222239788132
2021-07-11,15.4954339089341
2021-07-12,14.8764152957373
2021-07-13,14.1610262918013
2021-07-14,13.766744159342
2021-07-15,13.082527355371
2021-07-16,12.0743235888535
2021-07-17,12.2907996691111
2021-07-18,12.662964544793
2021-07-19,11.5109118517984
2021-07-20,10.968428878399
2021-07-21,12.3117296400475
2021-07-22,13.1676165626169
2021-07-23,13.3093561779709
2021-07-24,13.7841072582061
2021-07-25,13.6456841236395
2021-07-26,14.023543487587
2021-07-27,14.2908682349051
2021-07-28,14.4944999165656
2021-07-29,15.2799073268528
2021-07-30,15.72085220508
2021-07-31,16.9239341139952
2021-08-01,18.4133932624631
2021-08-02,18.2018692003886
2021-08-03,17.4364969692026
2021-08-04,19.174764878336
2021-08-05,19.1663380737144
2021-08-06,20.4104706075026
2021-08-07,20.8851594027568
2021-08-08,19.8321804909743
2021-08-09,20.6178613821364
2021-08-10,20.5808584670075
2021-08-11,21.3724565752438
2021-08-12,20.6406546433584
2021-08-13,22.5770828853894
2021-08-14,22.8639903045256
2021-08-15,23.1585829523862
2021-08-16,24.4812038804971
2021-08-17,23.6121216131542
2021-08-18,24.202875660667
2021-08-19,26.4788025786279
2021-08-20,28.0993175250512
2021-08-21,28.0745913597383
2021-08-22,27.8030403642273
2021-08-23,27.9803083433308
2021-08-24,25.3175775337346
2021-08-25,26.0330836145151
2021-08-26,24.2535584172356
2021-08-27,26.5395142537498
2021-08-28,25.9281313087431
2021-08-29,25.7777196655423
2021-08-30,26.0969902230516
2021-08-31,31.3185045670012
2021-09-01,33.0153214737422
2021-09-02,31.9512007389849
2021-09-03,33.3569633160629
2021-09-04,32.4715945358593
2021-09-05,34.3442818334505
2021-09-06,34.1396291058746
2021-09-07,27.9143576110773
2021-09-08,27.6826536834017
2021-09-09,29.7952410032069
2021-09-10,28.9575859430239
2021-09-11,31.2938830760878
2021-09-12,35.8998233712443
2021-09-13,34.7668907259715
2021-09-14,37.5837144412509
2021-09-15,36.4003652466625
2021-09-16,35.4567107016346
2021-09-17,32.8847149328159
2021-09-18,34.9148243567572
2021-09-19,33.6221310778028
2021-09-20,28.1563323258384
2021-09-21,26.1120058045841
2021-09-22,31.4247608050403
2021-09-23,33.3013366056901
2021-09-24,30.8929214859649
2021-09-25,29.910046129109
2021-09-26,28.6712847875556
2021-09-27,27.8631767459322
2021-09-28,26.4443511508075
2021-09-29,27.2009980795786
2021-09-30,28.5327903609866
2021-10-01,31.9041461360861
2021-10-02,32.1962166118472
2021-10-03,32.1164803947112
2021-10-04,31.1188027091969
2021-10-05,31.513333942295
2021-10-06,32.4378513448001
2021-10-07,33.817505560521
2021-10-08,33.301149759857
2021-10-09,36.4264591643459
2021-10-10,34.4849672989782
2021-10-11,33.9414140278849
2021-10-12,35.1104871987145
2021-10-13,41.653027208735
2021-10-14,40.6649329041219
2021-10-15,43.4063284322989
2021-10-16,41.8985482799689
2021-10-17,41.9923377401542
2021-10-18,41.1183790293533
2021-10-19,41.3827786361066
2021-10-20,44.4735779610862
2021-10-21,42.9322280641619
2021-10-22,43.6076432229323
