time,CapMrktCurUSD,PriceUSD,SplyCur
2017-06-04,127179207.67335926,1.01782776429721,124951600.0
2017-06-05,127800900.05567248,1.02280322985598,124951600.0
2017-06-06,146377614.88391235,1.00983786921919,144951600.0
2017-06-07,147544997.3773056,1.01789147120353,144951600.0
2017-06-08,145582038.6120116,1.0043493042644,144951600.0
2017-06-09,144610503.4892786,0.997646824797233,144951600.0
2017-06-10,150506197.8849524,1.03832036269315,144951600.0
2017-06-11,147990883.9394124,1.02096757772534,144951600.0
2017-06-12,148971101.1671861,1.02772995377206,144951600.0
2017-06-13,147046791.83482787,1.01445442364781,144951600.0
2017-06-14,148524614.22656843,1.02464970532625,144951600.0
2017-06-15,147373163.59387377,1.01670601493101,144951600.0
2017-06-16,167726944.15994847,1.01682520302894,164951600.0
2017-06-17,167374050.94817537,1.01468582874113,164951600.0
2017-06-18,166211438.16268733,1.00763762317363,164951600.0
2017-06-19,165890770.07786897,1.00569360999147,164951600.0
2017-06-20,166261609.74204743,1.00794178257166,164951600.0
2017-06-21,166854708.22369155,1.01153737353073,164951600.0
2017-06-22,164775393.24424133,0.998931766919759,164951600.0
2017-06-23,165354648.20142293,1.00244343311264,164951600.0
2017-06-24,189525814.64936563,1.02473195500534,184951600.0
2017-06-25,186540568.5302704,1.00859126674368,184951600.0
2017-06-26,216385067.3600312,1.00666879130014,214951600.0
2017-06-27,248964936.33830732,1.01638420136185,244951600.0
2017-06-28,248343782.06359917,1.01384837683689,244951600.0
2017-06-29,250679544.14455608,1.02338398338511,244951600.0
2017-06-30,247328716.51333743,1.00970443350171,244951600.0
2017-07-01,251114711.07027784,1.02516052587645,244951600.0
2017-07-02,251589084.05158064,1.02709712470374,244951600.0
2017-07-03,245520025.26656243,1.00232056155813,244951600.0
2017-07-04,246523612.16058025,1.00641764397775,244951600.0
2017-07-05,245959218.316286,1.00411354045569,244951600.0
2017-07-06,246071947.88166848,1.00457375204599,244951600.0
2017-07-07,247380496.47425577,1.00991582204099,244951600.0
2017-07-08,245882847.9311552,1.00380176300606,244951600.0
2017-07-09,247793385.165882,1.01160141499742,244951600.0
2017-07-10,278058738.0281981,1.01130067265729,274951600.0
2017-07-11,277476975.3983884,1.00918479979163,274951600.0
2017-07-12,275950778.1121935,1.00363401453999,274951600.0
2017-07-13,300834790.16006875,1.00294444223691,299951600.0
2017-07-14,301236188.27082306,1.00428265183724,299951600.0
2017-07-15,298442278.61320144,0.994968116900198,299951600.0
2017-07-16,296932062.01152,0.989933249269282,299951600.0
2017-07-17,300062387.67228144,1.0003693518297,299951600.0
2017-07-18,327866262.4786565,1.00896952801173,324951600.0
2017-07-19,326100998.52109736,1.00353713759556,324951600.0
2017-07-20,325544442.90763575,1.00182440371931,324951600.0
2017-07-21,324355858.3887064,0.998166675864056,324951600.0
2017-07-22,322872301.88411397,0.993601206715443,324951600.0
2017-07-23,325050504.18184906,1.00030436588664,324951600.0
2017-07-24,323148672.20079845,0.994451703579236,324951600.0
2017-07-25,324677653.43408185,0.999156961941661,324951600.0
2017-07-26,324800069.2815411,0.999533682190028,324951600.0
2017-07-27,324790356.3157244,0.999503791689976,324951600.0
2017-07-28,325214266.17185414,1.0008083239838,324951600.0
2017-07-29,324237734.74233395,0.99780316435535,324951600.0
2017-07-30,327923241.12077665,1.00914487302348,324951600.0
2017-07-31,326137714.3876001,1.00365012631912,324951600.0
2017-08-01,324417829.55179834,0.998357384766834,324951600.0
2017-08-02,324896245.1533631,0.999829652026219,324951600.0
2017-08-03,324087116.22008,0.997339653720985,324951600.0
2017-08-04,325225137.84282285,1.0008417802615,324951600.0
2017-08-05,322906900.6519385,0.993707680318972,324951600.0
2017-08-06,325113320.54630196,1.00049767579634,324951600.0
2017-08-07,324977685.46156216,1.00008027491344,324951600.0
2017-08-08,325361306.9980246,1.00126082468289,324951600.0
2017-08-09,325976774.55666006,1.00315485308169,324951600.0
2017-08-10,326689344.6900108,1.0053477031349,324951600.0
2017-08-11,326120561.2319256,1.00359733951741,324951600.0
2017-08-12,326414428.9337738,1.00450168250833,324951600.0
2017-08-13,325555335.2042508,1.00185792346999,324951600.0
2017-08-14,326104401.8321436,1.00354761088157,324951600.0
2017-08-15,325547570.2849,1.00183402785184,324951600.0
2017-08-16,324578741.289195,0.998852571549717,324951600.0
2017-08-17,325743718.19185406,1.00243764976647,324951600.0
2017-08-18,325564298.72506386,1.00188550764195,324951600.0
2017-08-19,325353888.91360307,1.00123799640809,324951600.0
2017-08-20,324557160.4490756,0.998786159074384,324951600.0
2017-08-21,325328932.6104039,1.00116119634556,324951600.0
2017-08-22,329105808.97564405,1.01278408530884,324951600.0
2017-08-23,325964413.8689792,1.0031168145317,324951600.0
2017-08-24,325242504.34909683,1.00089522362437,324951600.0
2017-08-25,326077308.9705204,1.00346423581395,324951600.0
2017-08-26,324888427.4844504,0.99980559407755,324951600.0
2017-08-27,325483664.2205767,1.00163736452006,324951600.0
2017-08-28,325204220.0230924,1.00077740815276,324951600.0
2017-08-29,324833759.9231274,0.99963736114279,324951600.0
2017-08-30,325728617.3567536,1.00239117873786,324951600.0
2017-08-31,326881601.8316939,1.00593935168097,324951600.0
2017-09-01,327220992.6771195,1.00698378674584,324951600.0
2017-09-02,354545044.97195345,1.02781098847477,344951600.0
2017-09-03,372578737.96127266,1.00710130179535,369951600.0
2017-09-04,416645891.132358,1.0549289865704,394951600.0
2017-09-05,400166932.47576445,1.01320499138569,394951600.0
2017-09-06,397700532.88994634,1.00696017661391,394951600.0
2017-09-07,421373148.7649428,1.00338503000094,419951600.0
2017-09-08,425616543.80058646,1.01348951593609,419951600.0
2017-09-09,423281699.0789866,1.00792972113688,419951600.0
2017-09-10,424295641.67964166,1.01034414842006,419951600.0
2017-09-11,421383484.68645334,1.00340964217413,419951600.0
2017-09-12,421720052.183344,1.00421108571403,419951600.0
2017-09-13,420271115.45499456,1.00076083876093,419951600.0
2017-09-14,447216028.5554877,1.00508915701278,444951600.0
2017-09-15,449223293.52441794,1.00960035546432,444951600.0
2017-09-16,449423127.7692319,1.01004947003052,444951600.0
2017-09-17,449678223.6839783,1.01062278163283,444951600.0
2017-09-18,446801558.57824886,1.00415766249239,444951600.0
2017-09-19,445979296.2333333,1.00230968094807,444951600.0
2017-09-20,444826154.1240312,0.999718068491115,444951600.0
2017-09-21,446711941.879267,1.00395625474606,444951600.0
2017-09-22,446541196.7812132,1.00357251615954,444951600.0
2017-09-23,445346527.10740346,1.0008875731819,444951600.0
2017-09-24,445123568.30534023,1.00038648766594,444951600.0
2017-09-25,445339567.3021685,1.00087193146888,444951600.0
2017-09-26,445091583.8820969,1.00031460473925,444951600.0
2017-09-27,444628713.8130477,0.999274334136674,444951600.0
2017-09-28,444276759.61472976,0.998483339794103,444951600.0
2017-09-29,444265738.7051048,0.998458571011105,444951600.0
2017-09-30,444266166.4931711,0.998459532437171,444951600.0
2017-10-01,442395032.2098975,0.9942542789146,444951600.0
2017-10-02,442736737.7199812,0.995022239991903,444951600.0
2017-10-03,444693135.3911608,0.999419117475161,444951600.0
2017-10-04,444698467.5371816,0.99943110112916,444951600.0
2017-10-05,444486331.71750414,0.998954339567504,444951600.0
2017-10-06,443794784.3520458,0.997400131502046,444951600.0
2017-10-07,442741975.9491556,0.995034012573852,444951600.0
2017-10-08,443123259.8085869,0.995890923436587,444951600.0
2017-10-09,443423734.54419833,0.996566221009652,444951600.0
2017-10-10,442694371.715502,0.994927025131502,444951600.0
2017-10-11,443458998.0253641,0.996645473407364,444951600.0
2017-10-12,442531917.57186574,0.994561919929866,444951600.0
2017-10-13,442692569.2558005,0.994922974219669,444951600.0
2017-10-14,443844480.85831696,0.997511821192051,444951600.0
2017-10-15,444367636.22218525,0.998687579103402,444951600.0
2017-10-16,443096985.49188375,0.995831873605767,444951600.0
2017-10-17,444548207.7505373,0.999093401957735,444951600.0
2017-10-18,446746881.8593901,1.00403478009606,444951600.0
2017-10-19,444671298.6957477,0.999370040911748,444951600.0
2017-10-20,444984058.74459904,1.00007294893332,444951600.0
2017-10-21,444843186.06427807,0.999756346677432,444951600.0
2017-10-22,446975382.26319855,1.00454832000424,444951600.0
2017-10-23,446123684.44651514,1.00263418413714,444951600.0
2017-10-24,447241248.52067274,1.00514583725662,444951600.0
2017-10-25,446746522.5712737,1.00403397261921,444951600.0
2017-10-26,445888548.18492,1.00210573056692,444951600.0
2017-10-27,447014384.17900234,1.00463597429249,444951600.0
2017-10-28,471217900.68618256,1.00269453425881,469951600.0
2017-10-29,470185278.438868,1.00049723937288,469951600.0
2017-10-30,470067603.33635503,1.00024684102864,469951600.0
2017-10-31,469716541.0167626,0.999499822996161,469951600.0
2017-11-01,471711982.4976054,1.00374588042174,469951600.0
2017-11-02,471806477.1479789,1.0039469535756,469951600.0
2017-11-03,497243373.6646431,1.00453206800938,495000000.0
2017-11-04,496863305.5549829,1.00376425364643,495000000.0
2017-11-05,496207805.1306255,1.0024400103649,495000000.0
2017-11-06,497205926.060976,1.0044564162848,495000000.0
2017-11-07,516280816.6495009,1.00248702262039,515000000.0
2017-11-08,540040091.6530523,1.00942073206178,535000000.0
2017-11-09,568123234.8042094,1.00552784921099,565000000.0
2017-11-10,566960217.6796278,1.00346941182235,565000000.0
2017-11-11,599734748.4946856,1.00795756049527,595000000.0
2017-11-12,599311718.7402873,1.00724658611813,595000000.0
2017-11-13,601066449.5465658,1.01019571352364,595000000.0
2017-11-14,596280406.9607567,1.00215194447186,595000000.0
2017-11-15,597050153.584226,1.00344563627601,595000000.0
2017-11-16,613614715.9130057,0.997747505549603,615000000.0
2017-11-17,676150665.3060458,1.00170468934229,675000000.0
2017-11-18,674192924.6663074,0.998804332838974,675000000.0
2017-11-19,672988133.2294289,0.997019456636191,675000000.0
2017-11-20,674636298.7290032,0.999461183302227,675000000.0
2017-11-21,673529872.4144003,0.997822033206519,675000000.0
2017-11-22,675652383.0801,1.000966493452,675000000.0
2017-11-23,676310671.431882,1.00194173545464,675000000.0
2017-11-24,677162737.3057717,1.00320405526781,675000000.0
2017-11-25,682266887.8841228,1.01076575982833,675000000.0
2017-11-26,704874284.6419151,1.0142061445119,695001000.0
2017-11-27,729421354.2207981,1.00609703189485,725001000.0
2017-11-28,774064014.9284285,1.00513308481819,770110970.0
2017-11-29,807432463.8847222,1.01549784853625,795109970.0
2017-11-30,801701147.9870799,1.00828964323901,795109970.0
2017-12-01,833574912.0541155,1.01641845916605,820109970.0
2017-12-02,842198958.8257204,0.996555464640561,845109970.0
2017-12-03,844136333.445219,0.998847917325149,845109970.0
2017-12-04,848398866.2452326,1.00389167843474,845109970.0
2017-12-05,847168886.2398849,1.00243627020503,845109970.0
2017-12-06,865779896.3785405,1.02445826828731,845109970.0
2017-12-07,885166368.5072446,1.04739785345006,845109970.0
2017-12-08,875692633.8509443,1.03618779204669,845109970.0
2017-12-09,882626754.8114328,1.04439278454073,845109970.0
2017-12-10,860610207.3049917,1.01834108915434,845109970.0
2017-12-11,890826845.2695376,1.02380949073545,870109970.0
2017-12-12,968029403.7301754,1.11253684833674,870109970.0
2017-12-13,936528725.4276168,1.01784434031034,920109970.0
2017-12-14,1070354892.9314928,1.01927885984312,1050109970.0
2017-12-15,1071538609.487054,1.02040609088499,1050109970.0
2017-12-16,1162721466.6817589,1.01096547026869,1150109970.0
2017-12-17,1169113330.5493836,1.01652308130968,1150109970.0
2017-12-18,1153855652.7041104,1.00325680395946,1150109970.0
2017-12-19,1232632769.0783925,1.02709984908999,1200109970.0
2017-12-20,1256936021.9498813,1.00546036117917,1250109970.0
2017-12-21,1275592361.149158,1.02038411960602,1250109970.0
2017-12-22,1305634041.0318043,1.04441534934067,1250109970.0
2017-12-23,1323139657.7133725,1.058418610735,1250109970.0
2017-12-24,1321706470.8004372,1.05727216206462,1250109970.0
2017-12-25,1282047677.8441412,1.02554791867162,1250109970.0
2017-12-26,1257015774.977204,1.00552415798844,1250109970.0
2017-12-27,1255455909.7455597,1.00427637557803,1250109970.0
2017-12-28,1321740767.6610255,1.01663766770516,1300109970.0
2017-12-29,1423337390.018856,1.01658971117737,1400109970.0
2017-12-30,1442276595.504203,1.03011665255423,1400109970.0
2017-12-31,1418884541.6662524,1.0134093550282,1400109970.0
2018-01-01,1408167936.8936188,1.00575523856431,1400109970.0
2018-01-02,1413029870.7554834,1.00922777569785,1400109970.0
2018-01-03,1406979728.6767282,1.00490658507112,1400109970.0
2018-01-04,1513260915.7626662,1.00876665446245,1500109970.0
2018-01-05,1513585056.8076847,1.00898273265105,1500109970.0
2018-01-06,1503378392.8622336,1.00217878884055,1500109970.0
2018-01-07,1495315300.3513677,0.996803787892542,1500109970.0
2018-01-08,1505654900.9943285,1.00369634967117,1500109970.0
2018-01-09,1503112283.1712055,1.00200139538517,1500109970.0
2018-01-10,1535418780.20574,1.00346956121444,1530109970.0
2018-01-11,1534363346.5986211,1.00277978490567,1530109970.0
2018-01-12,1537475735.082542,1.00481387954262,1530109970.0
2018-01-13,1528402026.742114,0.998883777446476,1530109970.0
2018-01-14,1594935189.3444889,1.00938239719131,1580109970.0
2018-01-15,1686697997.6793892,1.0039211883728,1680109970.0
2018-01-16,1836899252.5998223,1.03190212040654,1780109970.0
2018-01-17,1912700091.3955345,1.01733415699909,1880109970.0
2018-01-18,2037874978.2029212,1.02917262630768,1980109970.0
2018-01-19,2106052361.23518,1.01247164410023,2080109970.0
2018-01-20,2183547116.4848666,1.00157659316831,2180109970.0
2018-01-21,2188587146.037901,1.00388841671042,2180109970.0
2018-01-22,2194174315.5892205,1.006451209243,2180109970.0
2018-01-23,2288918921.3355274,1.00386338880643,2280109970.0
2018-01-24,2283647383.26628,1.00155142221771,2280109970.0
2018-01-25,2273661325.0814104,0.997171783377365,2280109970.0
2018-01-26,2269842525.3302746,0.995496951987046,2280109970.0
2018-01-27,2254270651.045239,0.988667511964451,2280109970.0
2018-01-28,2258867079.591964,0.977817986557568,2310109970.0
2018-01-29,2287971450.5969434,0.990416681590679,2310109970.0
2018-01-30,2252962467.7872663,0.975261999231693,2310109970.0
2018-01-31,2237824316.908577,0.981454555417157,2280109970.0
2018-02-01,2225915647.162904,0.976231706562339,2280109970.0
2018-02-02,2251972518.3493643,0.987659607641365,2280109970.0
2018-02-03,2273841791.2361255,0.997250931382106,2280109970.0
2018-02-04,2279614745.1589985,0.999782806598139,2280109970.0
2018-02-05,2263556375.0405574,0.992740001501137,2280109970.0
2018-02-06,2284697545.431246,1.00201199744381,2280109970.0
2018-02-07,2273920765.284196,0.997285567451905,2280109970.0
2018-02-08,2269916215.077531,0.995529270492831,2280109970.0
2018-02-09,2274461727.414364,0.997522820100806,2280109970.0
2018-02-10,2283267516.322443,1.00138482194455,2280109970.0
2018-02-11,2284865212.047937,1.00208553188684,2280109970.0
2018-02-12,2278967758.701129,0.999499054293916,2280109970.0
2018-02-13,2280587918.53716,1.00020961644107,2280109970.0
2018-02-14,2279673073.920181,0.99980838815427,2280109970.0
2018-02-15,2281257993.6479406,1.00050349485904,2280109970.0
