date,selection_score
2018-09-22,-0.951266775118146
2018-05-24,-0.7959250022858156
2021-05-20,-0.43258619466805787
2019-04-02,-0.39146002153141973
2018-09-06,-0.39064145579357146
2018-04-19,-0.34567581913148737
2018-08-01,-0.3206838262656402
2018-04-15,-0.31427154737277924
2020-12-28,-0.25208283008463656
2020-10-21,-0.24695803198542043
2018-06-29,-0.24202868298152566
2018-12-18,-0.2417085250938753
2018-07-18,-0.2319102316247942
2018-11-10,-0.2268701838595348
2018-09-29,-0.22596466704420753
2018-09-14,-0.2255822911664181
2018-08-05,-0.18714671565443883
2018-09-19,-0.1861599291035423
2018-09-18,-0.18515503927896407
2020-04-03,-0.18345602561850313
2021-05-11,-0.18048466814395453
2019-10-26,-0.1769153364233321
