event,control,distance,candidate_count
2018-05-24,,,0
2018-09-22,,,0
2018-12-18,,,0
2019-04-02,2019-12-31,2.045674348007511,37
2019-10-26,2019-08-04,1.9194235464683096,8
2020-04-03,,,0
2020-10-21,2020-07-23,0.40327632499214355,53
2020-12-28,,,0
2021-05-20,2021-07-22,0.36590219806483,12
