date,pnl_btc
2020-03-13,275.53795475
2021-06-08,171.40823947
2021-09-06,149.78930953
2021-06-18,146.94073458
2021-06-25,139.25205552
2021-06-09,136.93824955
2021-05-22,124.13423318
2021-09-21,116.06426447
2021-05-24,106.50630342
2021-09-26,96.31096512
