period,start,end,prior_close_usd,last_close_usd,spot_return,annualised_daily_log_vol,close_to_close_mdd
2018_partial,2018-03-01,2018-12-31,10307.0249663939,3687.19994009351,-0.6422634123701416,0.7169454950533906,-0.7240128897839604
2019,2019-01-01,2019-12-31,3687.19994009351,7167.39505464641,0.943858529804771,0.7001862332542137,-0.48622208737703443
2020,2020-01-01,2020-12-31,7167.39505464641,29022.6714126242,3.0492635317777914,0.7827883794816382,-0.5213764375494964
2021,2021-01-01,2021-12-31,29022.6714126242,46355.1173302747,0.5972036712689128,0.7862012056840028,-0.5308320869786175
full,2018-03-01,2021-12-31,10307.0249663939,46355.1173302747,3.4974294213330968,0.7495709911731412,-0.7240128897839604
