date,price_usd,return_1d,return_7d,return_30d,return_90d,rv30_ann,drawdown,usdt_usd,synthetic_btc_usdt,lagged_regime,wallet_realised_btc,wallet_ledger_btc,orders,contracts,maker_contracts
2018-03-01,10923.6308617767,0.05982384804473151,0.10583671766319025,0.0968000024456579,0.010609026854811132,1.3652251918990819,-0.4438215350867969,0.998274428260334,10942.512952889136,range_30d_within10pct,,,0,0,0
2018-03-02,11014.0584672706,0.008278163793534965,0.08416058005479155,0.09591576931486379,0.007242752233993954,1.3651836950223168,-0.43921739865580856,0.998807941308618,11027.203541093399,range_30d_within10pct,,,0,0,0
2018-03-03,11425.6805654588,0.03737242719487788,0.17953445645970856,0.26392158185276093,0.018881665128813507,1.3114577581660956,-0.41825959171491855,0.997451002098135,11454.879028067462,range_30d_within10pct,,,0,0,0
2018-03-04,11462.5831975453,0.00322979728647943,0.19361779405969948,0.30463034889439466,-0.008609605817687105,1.3050650548772498,-0.41638068812280393,0.995322744983202,11516.448564368691,up_30d_gt10pct,,,0,0,0
2018-03-05,11540.6623205728,0.006811651586897005,0.11910910083290727,0.2637467738235666,-0.016707493870660728,1.3006437348545814,-0.41240527671091187,0.998295513675335,11560.366807704644,up_30d_gt10pct,-0.01910004,0.15334629,14,297000,64000
2018-03-06,10677.0352308591,-0.07483340779966907,0.0021520278863127462,0.2941034391485795,-0.23692579704595307,1.2779700815746635,-0.45637699225973793,1.00013332802438,10675.611872619074,up_30d_gt10pct,-0.06358364,0.08976265,19,269000,40000
2018-03-07,9903.0850490941,-0.07248736798471034,-0.039190738221441035,0.44580239677703526,-0.41857007566445725,1.1133117594580877,-0.49578279326676133,1.00160836583872,9887.182841969896,up_30d_gt10pct,-0.01547227,0.07429038,0,0,0
2018-03-08,9330.47545295149,-0.057821334796573254,-0.1458448595512214,0.20569902189247435,-0.42752506664824186,1.0672313090755492,-0.5249373051874768,1.00247270043941,9307.460890318209,up_30d_gt10pct,0.04735248,0.12164286,46,480000,5000
2018-03-09,9278.13918439509,-0.0056091748829203425,-0.15760941237364712,0.21686971050629644,-0.3835132458491254,1.0654216108618138,-0.5276020149230318,1.00336853848537,9246.990341555713,up_30d_gt10pct,0.03630907,0.15795193,106,624000,15000
2018-03-10,8786.56042314436,-0.05298247326118122,-0.230981439328246,0.0691092028590432,-0.4322093258492422,1.0563521584469284,-0.5526308285360081,1.0032433100923,8758.155010608525,up_30d_gt10pct,-0.06403106,0.09392087,62,455000,0
2018-03-11,9513.53539976622,0.08273715101383283,-0.17003565114331876,0.09850314825632966,-0.43618474835324694,1.076598496849973,-0.5156167778376586,0.998911271951261,9523.904341556381,range_30d_within10pct,-0.03507086,0.05885001,47,283200,19000
