day,fills,orders,contracts,maker_contracts,fee_sat,end_position_contracts,last_execution_price
2018-06-24,1306,127,21067550,15972602,-5654098,200001,6122.5
2018-06-25,580,56,8874576,6754059,-1343151,1,6312.5
2018-06-26,50,5,800000,400000,2898353,1,6182.5
2018-06-27,91,7,1400000,799920,3733204,200001,6101.5
2018-06-29,88,13,1927958,927958,7913212,1,5880.0
2018-06-30,301,32,5300000,3709894,3659758,1,6368.5
2018-07-02,71,10,1200000,900000,-24496,1,6628.0
2018-07-03,494,34,5628734,3277561,12966763,1,6508.5
2018-07-04,468,34,5972370,4418416,964950,1,6567.5
2018-07-05,59,11,1672834,1001986,3447733,1,6558.5
2018-07-07,89,13,2400000,1844813,-577478,400001,6752.0
2018-07-08,137,11,2000000,1800000,-3997162,1,6745.0
2018-07-09,37,6,1200000,600000,3960456,1,6747.5
2018-07-10,131,23,3581080,2913160,-3131495,1,6310.0
2018-07-11,28,7,840882,640441,-140369,1,6335.0
2018-07-12,115,9,1600000,1200000,-24686,1,6237.5
2018-07-13,178,25,4101574,2953501,1449201,1,6217.5
2018-07-14,88,8,1600000,1400000,-2872092,1,6242.5
2018-07-15,13,1,200000,200000,-708786,-199999,6349.0
2018-07-16,153,19,3600000,2721461,-263480,-599999,6711.5
2018-07-17,382,40,8766207,7166208,-7930848,-353630,7328.0
2018-07-18,981,90,19276396,15272075,-9898902,-257234,7383.5
2018-07-19,440,38,8468533,6370385,-319971,-253155,7457.5
2018-07-20,168,20,4385496,3635496,-4214505,1,7345.0
2018-07-21,103,6,1002284,683864,839196,-2283,7322.0
2018-07-22,272,28,6082238,4652338,-1131379,1,7405.0
2018-07-23,187,16,3307109,2154327,3779234,-5970,7744.0
2018-07-24,576,76,17089037,12221015,5873094,-720039,8417.5
2018-07-25,659,77,14864962,12215082,-12317277,227927,8170.0
2018-07-26,642,67,15478102,12655493,-11562134,855693,7940.5
2018-07-27,900,90,21195958,15886833,-219949,33949,8157.5
2018-07-28,153,13,3033948,2520772,-2697952,1,8155.0
2018-07-29,159,10,2169286,1624196,-437008,250001,8200.0
2018-07-30,89,5,1000000,673181,807880,250001,8174.5
2018-07-31,651,68,16658424,9687134,32624057,819741,7761.5
2018-08-01,444,50,10198822,8180511,-6401946,256083,7603.0
2018-08-02,175,17,2655435,2632574,-7559770,246370,7497.0
2018-08-03,123,15,3504066,2664439,-433033,250436,7392.5
2018-08-04,322,25,6943538,4358743,10558292,1693974,7044.0
2018-08-05,599,45,9176299,6147173,9410917,-1,7044.5
2018-08-06,346,32,7214902,6306260,-12036292,750647,6857.5
2018-08-07,1433,105,23008922,16697063,6868296,-250509,6702.5
2018-08-08,1370,116,27506984,21044861,-4882213,1317937,6217.5
2018-08-09,942,73,16321482,11531261,10046666,-749999,6560.0
2018-08-10,543,52,10430607,8049647,-3298106,-172090,6142.5
2018-08-11,205,13,2691251,1201905,11726823,500001,6235.0
2018-08-12,453,30,6592752,4081912,12333515,1,6320.0
2018-08-13,78,4,1000000,678121,1004024,1,6225.0
2018-08-14,313,21,3723850,2570693,3336758,1,6106.5
2018-08-15,814,58,13063837,8510493,17624980,505154,6282.5
2018-08-16,831,52,10622573,7036646,13346715,-250001,6295.5
2018-08-17,548,33,6942316,4588212,8705059,-750001,6540.5
2018-08-18,690,33,8049998,3362592,37675191,1,6358.5
2018-08-19,116,8,2000000,1003310,6912713,1,6523.5
2018-08-20,50,6,1500000,1245000,-1752518,1,6255.0
2018-08-22,333,33,5521634,3911981,3619182,-1,6333.0
2018-08-23,104,5,1250000,802949,1902439,-250001,6500.0
2018-08-24,307,11,2310452,1093769,8590708,-500001,6680.0
