direction,episodes,win_fraction_ex_funding,net_ex_funding_btc,median_duration_minutes,average_win_btc,average_loss_btc,profit_factor_ex_funding
long,1279,0.7701329163,775.1322636,23.70221165,2.005892877,-4.083919118,1.645581908
short,1310,0.7458015267,1209.328693,29.90799033,3.695005479,-7.209284263,1.503741782
