date,Deposit,RealisedPNL,Withdrawal,ledger_balance_sat,reported_last_balance_sat,daily_snapshot_residual_sat,cumulative_realised_sat
2018-11-27,0,1482079051,0,8462808554,8462808554,0,9303164553
2018-11-28,0,109587326,-1001200000,7571195880,7571195880,0,9412751879
2018-11-29,0,319704052,-1001200000,6889699932,6889699932,0,9732455931
2018-11-30,0,1108152140,0,7997852072,7997852072,0,10840608071
2018-12-01,0,88706890,0,8086558962,8086558962,0,10929314961
2018-12-02,0,-366336959,0,7720222003,7720222003,0,10562978002
2018-12-03,0,467108785,0,8187330788,8187330788,0,11030086787
2018-12-04,0,728321469,0,8915652257,8915652257,0,11758408256
2018-12-05,0,190800471,0,9106452728,9106452728,0,11949208727
2018-12-06,0,637236646,0,9743689374,9743689374,0,12586445373
2018-12-07,0,1068447065,-1001200000,9810936439,9810936439,0,13654892438
2018-12-08,0,1147498832,0,10958435271,1.095843527e+10,0,14802391270
2018-12-09,0,-69337111,0,10889098160,1.088909816e+10,0,14733054159
2018-12-10,0,374584667,0,11263682827,1.126368283e+10,0,15107638826
2018-12-11,0,-369122530,0,10894560297,1.08945603e+10,0,14738516296
2018-12-12,0,-179994392,0,10714565905,1.07145659e+10,0,14558521904
2018-12-13,0,-396678599,0,10317887306,1.031788731e+10,0,14161843305
2018-12-14,0,641818345,0,10959705651,1.095970565e+10,0,14803661650
2018-12-15,0,707109348,0,11666814999,1.1666815e+10,0,15510770998
2018-12-16,0,330229203,0,11997044202,1.19970442e+10,0,15841000201
2018-12-17,0,395665998,0,12392710200,1.23927102e+10,0,16236666199
2018-12-18,0,-3005990558,0,9386719642,9386719642,0,13230675641
2018-12-19,0,1254574379,0,10641294021,1.064129402e+10,0,14485250020
2018-12-20,0,269501563,0,10910795584,1.091079558e+10,0,14754751583
2018-12-21,0,642229732,0,11553025316,1.155302532e+10,0,15396981315
2018-12-22,0,588352894,0,12141378210,1.214137821e+10,0,15985334209
2018-12-23,0,-199838693,-1001200000,10940339517,1.094033952e+10,0,15785495516
2018-12-24,0,325323951,0,11265663468,1.126566347e+10,0,16110819467
2018-12-25,0,1298933996,0,12564597464,1.256459746e+10,0,17409753463
2018-12-26,0,408307823,0,12972905287,1.297290529e+10,0,17818061286
2018-12-27,0,334250426,0,13307155713,1.330715571e+10,0,18152311712
2018-12-28,0,551739876,0,13858895589,1.385889559e+10,0,18704051588
2018-12-29,0,15133353,-2001200000,11872828942,1.187282894e+10,0,18719184941
2018-12-30,0,-58399630,0,11814429312,1.181442931e+10,0,18660785311
2018-12-31,0,181786921,0,11996216233,1.199621623e+10,0,18842572232
2019-01-01,0,346724781,0,12342941014,1.234294101e+10,0,19189297013
2019-01-02,0,50727970,0,12393668984,1.239366898e+10,0,19240024983
2019-01-03,0,39295750,0,12432964734,1.243296473e+10,0,19279320733
2019-01-04,0,-8034,0,12432956700,1.24329567e+10,0,19279312699
2019-01-05,0,28463105,0,12461419805,1.24614198e+10,0,19307775804
2019-01-06,0,-3832,0,12461415973,1.246141597e+10,0,19307771972
2019-01-07,0,68467444,0,12529883417,1.252988342e+10,0,19376239416
2019-01-08,0,96365811,0,12626249228,1.262624923e+10,0,19472605227
2019-01-09,0,-718499143,0,11907750085,1.190775008e+10,0,18754106084
2019-01-10,0,-230251857,0,11677498228,1.167749823e+10,0,18523854227
2019-01-11,0,525140523,-1001200000,11201438751,1.120143875e+10,0,19048994750
2019-01-12,0,2208171494,0,13409610245,1.340961024e+10,0,21257166244
2019-01-13,0,-6334886,0,13403275359,1.340327536e+10,0,21250831358
2019-01-14,0,613799304,0,14017074663,1.401707466e+10,0,21864630662
2019-01-15,0,703652698,-1001200000,13719527361,1.371952736e+10,0,22568283360
2019-01-16,0,534823274,0,14254350635,1.425435064e+10,0,23103106634
2019-01-17,0,189612127,0,14443962762,1.444396276e+10,0,23292718761
2019-01-18,0,-11435410,0,14432527352,1.443252735e+10,0,23281283351
2019-01-19,0,-5465510,0,14427061842,1.442706184e+10,0,23275817841
2019-01-20,0,7025163,0,14434087005,1.4434087e+10,0,23282843004
2019-01-21,0,680653805,0,15114740810,1.511474081e+10,0,23963496809
2019-01-22,0,292986997,0,15407727807,1.540772781e+10,0,24256483806
2019-01-23,0,3117609,0,15410845416,1.541084542e+10,0,24259601415
2019-01-24,0,20294104,0,15431139520,1.543113952e+10,0,24279895519
2019-01-25,0,-5377,0,15431134143,1.543113414e+10,0,24279890142
2019-01-26,0,-15785,0,15431118358,1.543111836e+10,0,24279874357
2019-01-27,0,181479994,0,15612598352,1.561259835e+10,0,24461354351
2019-01-28,0,460163510,0,16072761862,1.607276186e+10,0,24921517861
2019-01-29,0,448714313,0,16521476175,1.652147618e+10,0,25370232174
2019-01-30,0,253488796,0,16774964971,1.677496497e+10,0,25623720970
2019-01-31,0,-24585762,0,16750379209,1.675037921e+10,0,25599135208
2019-02-01,0,71855889,0,16822235098,1.68222351e+10,0,25670991097
2019-02-02,0,250493252,0,17072728350,1.707272835e+10,0,25921484349
2019-02-03,0,-34444616,0,17038283734,1.703828373e+10,0,25887039733
2019-02-04,0,847,0,17038284581,1.703828458e+10,0,25887040580
2019-02-05,0,864,0,17038285445,1.703828544e+10,0,25887041444
2019-02-06,0,990,0,17038286435,1.703828644e+10,0,25887042434
2019-02-07,0,-482,0,17038285953,1.703828595e+10,0,25887041952
2019-02-08,0,102040922,0,17140326875,1.714032688e+10,0,25989082874
2019-02-09,0,131518626,-2001200000,15270645501,1.52706455e+10,0,26120601500
2019-02-10,0,-93579258,0,15177066243,1.517706624e+10,0,26027022242
2019-02-11,0,129161528,0,15306227771,1.530622777e+10,0,26156183770
2019-02-12,0,4634696,0,15310862467,1.531086247e+10,0,26160818466
2019-02-13,0,193741983,0,15504604450,1.550460445e+10,0,26354560449
2019-02-14,0,360,0,15504604810,1.550460481e+10,0,26354560809
2019-02-15,0,-3981052,0,15500623758,1.550062376e+10,0,26350579757
2019-02-16,0,8390261,0,15509014019,1.550901402e+10,0,26358970018
2019-02-17,0,-546386671,0,14962627348,1.496262735e+10,0,25812583347
2019-02-18,0,202066302,0,15164693650,1.516469365e+10,0,26014649649
2019-02-19,0,-261475265,0,14903218385,1.490321838e+10,0,25753174384
2019-02-20,0,148211857,0,15051430242,1.505143024e+10,0,25901386241
2019-02-21,0,144115784,0,15195546026,1.519554603e+10,0,26045502025
2019-02-22,0,93575877,0,15289121903,1.52891219e+10,0,26139077902
2019-02-23,0,68974857,0,15358096760,1.535809676e+10,0,26208052759
2019-02-24,0,3279962,0,15361376722,1.536137672e+10,0,26211332721
2019-02-25,0,1169910389,0,16531287111,1.653128711e+10,0,27381243110
2019-02-26,0,81546289,0,16612833400,1.66128334e+10,0,27462789399
2019-02-27,0,70040758,0,16682874158,1.668287416e+10,0,27532830157
2019-02-28,0,5442618,0,16688316776,1.668831678e+10,0,27538272775
2019-03-01,0,242000217,0,16930316993,1.693031699e+10,0,27780272992
2019-03-02,0,165586972,0,17095903965,1.709590396e+10,0,27945859964
2019-03-03,0,-12881,0,17095891084,1.709589108e+10,0,27945847083
2019-03-04,0,9282172,0,17105173256,1.710517326e+10,0,27955129255
2019-03-05,0,-49357240,0,17055816016,1.705581602e+10,0,27905772015
2019-03-06,0,835272667,0,17891088683,1.789108868e+10,0,28741044682
2019-03-07,0,231344934,0,18122433617,1.812243362e+10,0,28972389616
2019-03-08,0,49460485,-800120000,17371774102,1.73717741e+10,0,29021850101
2019-03-09,0,-16637993,0,17355136109,1.735513611e+10,0,29005212108
2019-03-10,0,-17558297,0,17337577812,1.733757781e+10,0,28987653811
2019-03-11,0,-33167943,0,17304409869,1.730440987e+10,0,28954485868
2019-03-12,0,834330462,0,18138740331,1.813874033e+10,0,29788816330
2019-03-13,0,57520,0,18138797851,1.813879785e+10,0,29788873850
2019-03-14,0,4623,0,18138802474,1.813880247e+10,0,29788878473
2019-03-15,0,-186898113,0,17951904361,1.795190436e+10,0,29601980360
2019-03-16,0,119058057,0,18070962418,1.807096242e+10,0,29721038417
2019-03-17,0,93210593,0,18164173011,1.816417301e+10,0,29814249010
2019-03-18,0,-53896481,0,18110276530,1.811027653e+10,0,29760352529
2019-03-19,0,50348688,0,18160625218,1.816062522e+10,0,29810701217
2019-03-20,0,-127,0,18160625091,1.816062509e+10,0,29810701090
2019-03-21,0,-3958,0,18160621133,1.816062113e+10,0,29810697132
2019-03-22,0,-18854949,0,18141766184,1.814176618e+10,0,29791842183
2019-03-23,0,-16503702,0,18125262482,1.812526248e+10,0,29775338481
2019-03-24,0,105546267,0,18230808749,1.823080875e+10,0,29880884748
2019-03-25,0,-12360040,0,18218448709,1.821844871e+10,0,29868524708
2019-03-26,0,318393977,0,18536842686,1.853684269e+10,0,30186918685
2019-03-27,0,8693298,0,18545535984,1.854553598e+10,0,30195611983
2019-03-28,0,131555253,0,18677091237,1.867709124e+10,0,30327167236
2019-03-29,0,303648606,0,18980739843,1.898073984e+10,0,30630815842
2019-03-30,0,241665195,0,19222405038,1.922240504e+10,0,30872481037
2019-03-31,0,-7838535,0,19214566503,1.92145665e+10,0,30864642502
2019-04-01,0,-48715816,0,19165850687,1.916585069e+10,0,30815926686
2019-04-02,0,-7476784228,0,11689066459,1.168906646e+10,0,23339142458
2019-04-03,0,1887754789,0,13576821248,1.357682125e+10,0,25226897247
2019-04-04,0,1223241439,0,14800062687,1.480006269e+10,0,26450138686
2019-04-05,0,270662113,0,15070724800,1.50707248e+10,0,26720800799
2019-04-06,0,435214129,0,15505938929,1.550593893e+10,0,27156014928
2019-04-07,0,1160995415,0,16666934344,1.666693434e+10,0,28317010343
2019-04-08,0,-135377905,0,16531556439,1.653155644e+10,0,28181632438
2019-04-09,0,340907047,0,16872463486,1.687246349e+10,0,28522539485
2019-04-10,0,160174933,-2001200000,15031438419,1.503143842e+10,0,28682714418
2019-04-11,0,346168815,0,15377607234,1.537760723e+10,0,29028883233
2019-04-12,0,625957786,0,16003565020,1.600356502e+10,0,29654841019
2019-04-13,0,221090718,0,16224655738,1.622465574e+10,0,29875931737
2019-04-14,0,183858909,0,16408514647,1.640851465e+10,0,30059790646
2019-04-15,0,-355168090,0,16053346557,1.605334656e+10,0,29704622556
2019-04-16,0,95346018,0,16148692575,1.614869258e+10,0,29799968574
2019-04-17,0,222319309,0,16371011884,1.637101188e+10,0,30022287883
2019-04-18,0,280921670,-1001200000,15650733554,1.565073355e+10,0,30303209553
2019-04-19,0,11137173,0,15661870727,1.566187073e+10,0,30314346726
2019-04-20,0,-52542235,0,15609328492,1.560932849e+10,0,30261804491
2019-04-21,0,365003562,0,15974332054,1.597433205e+10,0,30626808053
2019-04-22,0,434819099,0,16409151153,1.640915115e+10,0,31061627152
2019-04-23,0,1457608867,-2001200000,15865560020,1.586556002e+10,0,32519236019
2019-04-24,0,1016807221,0,16882367241,1.688236724e+10,0,33536043240
2019-04-25,0,632114485,0,17514481726,1.751448173e+10,0,34168157725
2019-04-26,0,-521884844,0,16992596882,1.699259688e+10,0,33646272881
2019-04-27,0,352464440,0,17345061322,1.734506132e+10,0,33998737321
2019-04-28,0,4700342,0,17349761664,1.734976166e+10,0,34003437663
2019-04-29,0,-71113590,0,17278648074,1.727864807e+10,0,33932324073
2019-04-30,0,117986483,0,17396634557,1.739663456e+10,0,34050310556
