date,scenario,base_equity_usd,shocked_equity_usd,change_usd,change_fraction_of_base,btc_move,alt_usd_move,usdt_usd_move,futures_basis_move
2018-03-05,btc_down20,1099.3031869270499,-920.5574504583603,-2019.8606373854102,-1.8374008748502326,-0.2,0.0,0.0,0.0
2018-03-05,btc_up20,1099.3031869270499,3119.1638243124603,2019.8606373854104,1.8374008748502328,0.2,0.0,0.0,0.0
2018-03-05,alts_down30,1099.3031869270499,1099.3031869270499,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-05,joint_down,1099.3031869270499,-920.5574504583603,-2019.8606373854102,-1.8374008748502326,-0.2,-0.3,0.0,0.0
2018-03-05,joint_up,1099.3031869270499,3119.1638243124603,2019.8606373854104,1.8374008748502328,0.2,0.3,0.0,0.0
2018-03-05,usdt_down5,1099.3031869270499,1099.3031869270499,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-05,futures_basis_down5,1099.3031869270499,1099.3031869270499,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-05,futures_basis_up5,1099.3031869270499,1099.3031869270499,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-06,btc_down20,793.2010045739103,634.5608036591282,-158.6402009147821,-0.20000000000000007,-0.2,0.0,0.0,0.0
2018-03-06,btc_up20,793.2010045739103,951.8412054886923,158.64020091478199,0.19999999999999993,0.2,0.0,0.0,0.0
2018-03-06,alts_down30,793.2010045739103,793.2010045739103,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-06,joint_down,793.2010045739103,634.5608036591282,-158.6402009147821,-0.20000000000000007,-0.2,-0.3,0.0,0.0
2018-03-06,joint_up,793.2010045739103,951.8412054886923,158.64020091478199,0.19999999999999993,0.2,0.3,0.0,0.0
2018-03-06,usdt_down5,793.2010045739103,793.2010045739103,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-06,futures_basis_down5,793.2010045739103,793.2010045739103,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-06,futures_basis_up5,793.2010045739103,793.2010045739103,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-07,btc_down20,735.7039514695193,588.5631611756155,-147.14079029390382,-0.19999999999999993,-0.2,0.0,0.0,0.0
2018-03-07,btc_up20,735.7039514695193,882.8447417634231,147.14079029390382,0.19999999999999993,0.2,0.0,0.0,0.0
2018-03-07,alts_down30,735.7039514695193,735.7039514695193,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-07,joint_down,735.7039514695193,588.5631611756155,-147.14079029390382,-0.19999999999999993,-0.2,-0.3,0.0,0.0
2018-03-07,joint_up,735.7039514695193,882.8447417634231,147.14079029390382,0.19999999999999993,0.2,0.3,0.0,0.0
2018-03-07,usdt_down5,735.7039514695193,735.7039514695193,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-07,futures_basis_down5,735.7039514695193,735.7039514695193,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-07,futures_basis_up5,735.7039514695193,735.7039514695193,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-08,btc_down20,1134.9857192568147,907.9885754054519,-226.9971438513628,-0.19999999999999987,-0.2,0.0,0.0,0.0
2018-03-08,btc_up20,1134.9857192568147,1361.9828631081775,226.9971438513628,0.19999999999999987,0.2,0.0,0.0,0.0
2018-03-08,alts_down30,1134.9857192568147,1134.9857192568147,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-08,joint_down,1134.9857192568147,907.9885754054519,-226.9971438513628,-0.19999999999999987,-0.2,-0.3,0.0,0.0
2018-03-08,joint_up,1134.9857192568147,1361.9828631081775,226.9971438513628,0.19999999999999987,0.2,0.3,0.0,0.0
2018-03-08,usdt_down5,1134.9857192568147,1134.9857192568147,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-08,futures_basis_down5,1134.9857192568147,1134.9857192568147,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-08,futures_basis_up5,1134.9857192568147,1134.9857192568147,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-09,btc_down20,1095.6695590567765,876.5356472454213,-219.13391181135523,-0.19999999999999993,-0.2,0.0,0.0,0.0
2018-03-09,btc_up20,1095.6695590567765,1314.8034708681316,219.13391181135512,0.19999999999999984,0.2,0.0,0.0,0.0
2018-03-09,alts_down30,1095.6695590567765,1095.6695590567765,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-09,joint_down,1095.6695590567765,876.5356472454213,-219.13391181135523,-0.19999999999999993,-0.2,-0.3,0.0,0.0
2018-03-09,joint_up,1095.6695590567765,1314.8034708681316,219.13391181135512,0.19999999999999984,0.2,0.3,0.0,0.0
2018-03-09,usdt_down5,1095.6695590567765,1095.6695590567765,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-09,futures_basis_down5,1095.6695590567765,1095.6695590567765,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-09,futures_basis_up5,1095.6695590567765,1095.6695590567765,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-10,btc_down20,801.0441769872126,-2359.1646584102295,-3160.2088353974423,-3.9451118005541534,-0.2,0.0,0.0,0.0
2018-03-10,btc_up20,801.0441769872126,3961.253012384652,3160.208835397439,3.9451118005541495,0.2,0.0,0.0,0.0
2018-03-10,alts_down30,801.0441769872126,801.0441769872126,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-10,joint_down,801.0441769872126,-2359.1646584102295,-3160.2088353974423,-3.9451118005541534,-0.2,-0.3,0.0,0.0
2018-03-10,joint_up,801.0441769872126,3961.253012384652,3160.208835397439,3.9451118005541495,0.2,0.3,0.0,0.0
2018-03-10,usdt_down5,801.0441769872126,801.0441769872126,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-10,futures_basis_down5,801.0441769872126,801.0441769872126,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-10,futures_basis_up5,801.0441769872126,801.0441769872126,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-11,btc_down20,898.5405752351298,718.8324601881038,-179.708115047026,-0.20000000000000004,-0.2,0.0,0.0,0.0
2018-03-11,btc_up20,898.5405752351298,1078.2486902821556,179.70811504702579,0.1999999999999998,0.2,0.0,0.0,0.0
2018-03-11,alts_down30,898.5405752351298,898.5405752351298,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-11,joint_down,898.5405752351298,718.8324601881038,-179.708115047026,-0.20000000000000004,-0.2,-0.3,0.0,0.0
2018-03-11,joint_up,898.5405752351298,1078.2486902821556,179.70811504702579,0.1999999999999998,0.2,0.3,0.0,0.0
2018-03-11,usdt_down5,898.5405752351298,898.5405752351298,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-11,futures_basis_down5,898.5405752351298,898.5405752351298,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-11,futures_basis_up5,898.5405752351298,898.5405752351298,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-12,btc_down20,35.03888932203202,28.031111457625617,-7.007777864406403,-0.19999999999999998,-0.2,0.0,0.0,0.0
2018-03-12,btc_up20,35.03888932203202,42.04666718643842,7.0077778644064,0.19999999999999987,0.2,0.0,0.0,0.0
2018-03-12,alts_down30,35.03888932203202,35.03888932203202,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-12,joint_down,35.03888932203202,28.031111457625617,-7.007777864406403,-0.19999999999999998,-0.2,-0.3,0.0,0.0
2018-03-12,joint_up,35.03888932203202,42.04666718643842,7.0077778644064,0.19999999999999987,0.2,0.3,0.0,0.0
2018-03-12,usdt_down5,35.03888932203202,35.03888932203202,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-12,futures_basis_down5,35.03888932203202,35.03888932203202,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-12,futures_basis_up5,35.03888932203202,35.03888932203202,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-13,btc_down20,5756.698067324703,-15394.64154614024,-21151.33961346494,-3.674213822941483,-0.2,0.0,0.0,0.0
2018-03-13,btc_up20,5756.698067324703,26908.037680789635,21151.339613464934,3.6742138229414816,0.2,0.0,0.0,0.0
2018-03-13,alts_down30,5756.698067324703,5756.698067324703,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-13,joint_down,5756.698067324703,-15394.64154614024,-21151.33961346494,-3.674213822941483,-0.2,-0.3,0.0,0.0
2018-03-13,joint_up,5756.698067324703,26908.037680789635,21151.339613464934,3.6742138229414816,0.2,0.3,0.0,0.0
2018-03-13,usdt_down5,5756.698067324703,5756.698067324703,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-13,futures_basis_down5,5756.698067324703,5756.698067324703,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-13,futures_basis_up5,5756.698067324703,5756.698067324703,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-14,btc_down20,5238.749501222291,4190.999600977832,-1047.7499002444583,-0.20000000000000004,-0.2,0.0,0.0,0.0
2018-03-14,btc_up20,5238.749501222291,6286.499401466748,1047.7499002444574,0.19999999999999987,0.2,0.0,0.0,0.0
2018-03-14,alts_down30,5238.749501222291,5238.749501222291,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-14,joint_down,5238.749501222291,4190.999600977832,-1047.7499002444583,-0.20000000000000004,-0.2,-0.3,0.0,0.0
2018-03-14,joint_up,5238.749501222291,6286.499401466748,1047.7499002444574,0.19999999999999987,0.2,0.3,0.0,0.0
2018-03-14,usdt_down5,5238.749501222291,5238.749501222291,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-14,futures_basis_down5,5238.749501222291,5238.749501222291,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-14,futures_basis_up5,5238.749501222291,5238.749501222291,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-15,btc_down20,6455.224107812697,5164.179286250158,-1291.0448215625393,-0.19999999999999998,-0.2,0.0,0.0,0.0
2018-03-15,btc_up20,6455.224107812697,7746.2689293752355,1291.0448215625383,0.19999999999999984,0.2,0.0,0.0,0.0
2018-03-15,alts_down30,6455.224107812697,6455.224107812697,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-15,joint_down,6455.224107812697,5164.179286250158,-1291.0448215625393,-0.19999999999999998,-0.2,-0.3,0.0,0.0
2018-03-15,joint_up,6455.224107812697,7746.2689293752355,1291.0448215625383,0.19999999999999984,0.2,0.3,0.0,0.0
2018-03-15,usdt_down5,6455.224107812697,6455.224107812697,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-15,futures_basis_down5,6455.224107812697,6455.224107812697,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-15,futures_basis_up5,6455.224107812697,6455.224107812697,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-16,btc_down20,12346.572692829868,9877.258154263895,-2469.3145385659736,-0.2,-0.2,0.0,0.0,0.0
2018-03-16,btc_up20,12346.572692829868,14815.887231395842,2469.3145385659736,0.2,0.2,0.0,0.0,0.0
2018-03-16,alts_down30,12346.572692829868,12346.572692829868,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-16,joint_down,12346.572692829868,9877.258154263895,-2469.3145385659736,-0.2,-0.2,-0.3,0.0,0.0
2018-03-16,joint_up,12346.572692829868,14815.887231395842,2469.3145385659736,0.2,0.2,0.3,0.0,0.0
2018-03-16,usdt_down5,12346.572692829868,12346.572692829868,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-16,futures_basis_down5,12346.572692829868,12346.572692829868,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-16,futures_basis_up5,12346.572692829868,12346.572692829868,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-17,btc_down20,11833.66600352662,9466.932802821297,-2366.733200705323,-0.1999999999999999,-0.2,0.0,0.0,0.0
2018-03-17,btc_up20,11833.66600352662,14200.399204231944,2366.7332007053246,0.20000000000000007,0.2,0.0,0.0,0.0
2018-03-17,alts_down30,11833.66600352662,11833.66600352662,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-17,joint_down,11833.66600352662,9466.932802821297,-2366.733200705323,-0.1999999999999999,-0.2,-0.3,0.0,0.0
2018-03-17,joint_up,11833.66600352662,14200.399204231944,2366.7332007053246,0.20000000000000007,0.2,0.3,0.0,0.0
2018-03-17,usdt_down5,11833.66600352662,11833.66600352662,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-17,futures_basis_down5,11833.66600352662,11833.66600352662,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-17,futures_basis_up5,11833.66600352662,11833.66600352662,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-18,btc_down20,12295.133910746383,9836.107128597108,-2459.0267821492744,-0.19999999999999982,-0.2,0.0,0.0,0.0
2018-03-18,btc_up20,12295.133910746383,14754.160692895659,2459.026782149276,0.19999999999999998,0.2,0.0,0.0,0.0
2018-03-18,alts_down30,12295.133910746383,12295.133910746383,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-18,joint_down,12295.133910746383,9836.107128597108,-2459.0267821492744,-0.19999999999999982,-0.2,-0.3,0.0,0.0
2018-03-18,joint_up,12295.133910746383,14754.160692895659,2459.026782149276,0.19999999999999998,0.2,0.3,0.0,0.0
2018-03-18,usdt_down5,12295.133910746383,12295.133910746383,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-18,futures_basis_down5,12295.133910746383,12295.133910746383,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-18,futures_basis_up5,12295.133910746383,12295.133910746383,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-19,btc_down20,22666.73347936518,18133.386783492144,-4533.346695873035,-0.19999999999999996,-0.2,0.0,0.0,0.0
2018-03-19,btc_up20,22666.73347936518,27200.08017523821,4533.346695873031,0.19999999999999982,0.2,0.0,0.0,0.0
2018-03-19,alts_down30,22666.73347936518,22666.73347936518,0.0,0.0,0.0,-0.3,0.0,0.0
2018-03-19,joint_down,22666.73347936518,18133.386783492144,-4533.346695873035,-0.19999999999999996,-0.2,-0.3,0.0,0.0
2018-03-19,joint_up,22666.73347936518,27200.08017523821,4533.346695873031,0.19999999999999982,0.2,0.3,0.0,0.0
2018-03-19,usdt_down5,22666.73347936518,22666.73347936518,0.0,0.0,0.0,0.0,-0.05,0.0
2018-03-19,futures_basis_down5,22666.73347936518,22666.73347936518,0.0,0.0,0.0,0.0,0.0,-0.05
2018-03-19,futures_basis_up5,22666.73347936518,22666.73347936518,0.0,0.0,0.0,0.0,0.0,0.05
2018-03-20,btc_down20,15493.083500312683,112394.46680025013,96901.38329993744,6.254493064468527,-0.2,0.0,0.0,0.0
2018-03-20,btc_up20,15493.083500312683,-81408.29979962479,-96901.38329993747,-6.254493064468528,0.2,0.0,0.0,0.0
2018-03-20,alts_down30,15493.083500312683,15493.083500312683,0.0,0.0,0.0,-0.3,0.0,0.0
