date,scenario,base_equity_usd,shocked_equity_usd,change_usd,change_fraction_of_base,btc_move,alt_usd_move,usdt_usd_move,futures_basis_move
2018-10-02,alts_down30,34308.86168395864,-25268.476014803786,-59577.33769876242,-1.7364999820620177,0.0,-0.3,0.0,0.0
2018-04-17,btc_down20,27512.060862443104,-97990.35131004544,-125502.41217248855,-4.5617234128691795,-0.2,0.0,0.0,0.0
2018-03-20,btc_up20,15493.083500312683,-81408.29979962479,-96901.38329993747,-6.254493064468528,0.2,0.0,0.0,0.0
2018-06-26,futures_basis_down5,82447.4422901906,64505.089775265944,-17942.35251492465,-0.2176216995522175,0.0,0.0,0.0,-0.05
2018-04-02,futures_basis_up5,8313.677752280533,5932.725371328154,-2380.952380952379,-0.2863897846292223,0.0,0.0,0.0,0.05
2018-04-17,joint_down,27512.060862443104,-97990.35131004544,-125502.41217248855,-4.5617234128691795,-0.2,-0.3,0.0,0.0
2018-03-20,joint_up,15493.083500312683,-81408.29979962479,-96901.38329993747,-6.254493064468528,0.2,0.3,0.0,0.0
2021-05-10,usdt_down5,26502452.87364056,25402609.277325004,-1099843.5963155553,-0.04149969067238542,0.0,0.0,-0.05,0.0
