posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-07-29,51932142,51932142,0,XBTUSD
2018-07-30,26134395,26134395,0,XBTUSD
2018-07-31,86560261,86560261,0,XBTUSD
2018-08-01,-510750372,-510750372,0,XBTUSD
2018-08-02,221385233,221385233,0,XBTUSD
2018-08-03,-60946973,-60946973,0,XBTUSD
2018-08-04,37291896,37291896,0,XBTUSD
2018-08-05,-387063996,-387063998,2,XBTUSD
2018-08-06,51604308,51604310,-2,XBTUSD
2018-08-07,265547497,265547497,0,XBTUSD
2018-08-08,29095990,29095989,1,XBTUSD
2018-08-09,170312383,170312384,-1,XBTUSD
2018-08-10,584261957,584261957,0,XBTUSD
2018-08-11,22213193,22213193,0,XBTUSD
2018-08-12,259149072,259149072,0,XBTUSD
2018-08-13,-58431577,-58431577,0,XBTUSD
2018-08-14,-198376088,-198376088,0,XBTUSD
2018-08-15,98569561,98569561,0,XBTUSD
2018-08-16,-20375663,-20375663,0,XBTUSD
2018-08-17,194483409,194483409,0,XBTUSD
2018-08-18,-144932353,-144932353,0,XBTUSD
2018-08-19,72706073,72706073,0,XBTUSD
2018-08-20,-15679569,-15679569,0,XBTUSD
2018-08-21,10983213,10983213,0,XBTUSD
2018-08-22,13078942,13078942,0,XBTUSD
2018-08-23,83769947,83769947,0,XBTUSD
2018-08-24,34947615,34947615,0,XBTUSD
2018-08-25,-168554728,-168554728,0,XBTUSD
2018-08-26,68477557,68477557,0,XBTUSD
2018-08-27,-32545738,-32545738,0,XBTUSD
2018-08-28,-248604448,-248604448,0,XBTUSD
2018-08-29,102134998,102134998,0,XBTUSD
2018-08-30,-80589940,-80589940,0,XBTUSD
2018-08-31,159776184,159776184,0,XBTUSD
2018-09-01,-3748490,-3748490,0,XBTUSD
2018-09-02,50478088,50478088,0,XBTUSD
2018-09-03,115584915,115584915,0,XBTUSD
2018-09-04,249434,249434,0,XBTUSD
2018-09-05,589982143,589982143,0,XBTUSD
2018-09-06,-1193728792,-1193728792,0,XBTUSD
2018-09-07,67712863,67712863,0,XBTUSD
2018-09-08,-18,-18,0,XBTUSD
2018-09-09,112002682,112002682,0,XBTUSD
2018-09-10,296431088,296431088,0,XBTUSD
2018-09-11,34934613,34934613,0,XBTUSD
2018-09-12,-11,-11,0,XBTUSD
2018-09-13,-2704472,-2704472,0,XBTUSD
2018-09-14,-64805896,-64805896,0,XBTUSD
2018-09-15,70591382,70591382,0,XBTUSD
2018-09-16,-24,-24,0,XBTUSD
2018-09-17,-1,-1,0,XBTUSD
2018-09-18,-2,-2,0,XBTUSD
2018-09-19,-5,-5,0,XBTUSD
2018-09-20,2,2,0,XBTUSD
2018-09-21,-5,-5,0,XBTUSD
2018-09-22,-482,-482,0,XBTUSD
2018-09-24,-10184494,-10184494,0,XBTUSD
2018-09-25,636,636,0,XBTUSD
2018-09-26,-6,-6,0,XBTUSD
2018-09-27,3,3,0,XBTUSD
2018-09-28,-5,-5,0,XBTUSD
2018-09-29,-5,-5,0,XBTUSD
2018-09-30,-6,-6,0,XBTUSD
2018-10-01,-9,-9,0,XBTUSD
2018-10-02,-6,-6,0,XBTUSD
2018-10-03,-6,-6,0,XBTUSD
2018-10-04,-6,-6,0,XBTUSD
2018-10-05,-11,-11,0,XBTUSD
2018-10-06,-15,-15,0,XBTUSD
2018-10-07,-6,-6,0,XBTUSD
2018-10-08,-6,-6,0,XBTUSD
2018-10-09,-9,-9,0,XBTUSD
2018-10-10,15845686,15845686,0,XBTUSD
2018-10-11,79215698,79215698,0,XBTUSD
2018-10-12,116350407,116350407,0,XBTUSD
2018-10-13,21205615,21205615,0,XBTUSD
2018-10-14,-14,-14,0,XBTUSD
2018-10-15,481478131,481478131,0,XBTUSD
2018-10-16,-28732731,-28732731,0,XBTUSD
2018-10-17,18178667,18178667,0,XBTUSD
2018-10-18,3,3,0,XBTUSD
2018-10-19,24937575,24937575,0,XBTUSD
2018-10-20,6,6,0,XBTUSD
2018-10-21,6,6,0,XBTUSD
2018-10-22,6,6,0,XBTUSD
2018-10-23,6,6,0,XBTUSD
2018-10-24,6,6,0,XBTUSD
2018-10-25,6,6,0,XBTUSD
2018-10-26,6,6,0,XBTUSD
2018-10-27,7,7,0,XBTUSD
2018-10-28,6,6,0,XBTUSD
2018-10-29,6,6,0,XBTUSD
2018-10-30,14250219,14250219,0,XBTUSD
2018-10-31,16,16,0,XBTUSD
2018-11-01,6,6,0,XBTUSD
2018-11-02,6,6,0,XBTUSD
2018-11-03,6,6,0,XBTUSD
2018-11-04,6,6,0,XBTUSD
2018-11-05,6,6,0,XBTUSD
2018-11-06,20,20,0,XBTUSD
2018-11-07,13,13,0,XBTUSD
2018-11-08,7,7,0,XBTUSD
2018-11-09,-319,-319,0,XBTUSD
2018-11-10,-33,-33,0,XBTUSD
2018-11-11,-10,-10,0,XBTUSD
2018-11-12,-6,-6,0,XBTUSD
2018-11-13,-12,-12,0,XBTUSD
2018-11-14,-32,-32,0,XBTUSD
2018-11-15,25472681,25472681,0,XBTUSD
2018-11-16,73,73,0,XBTUSD
2018-11-17,29,29,0,XBTUSD
2018-11-18,-43129923,-43129923,0,XBTUSD
2018-11-19,22147179,22147179,0,XBTUSD
2018-11-20,69828837,69828837,0,XBTUSD
2018-11-21,77877150,77877150,0,XBTUSD
2018-11-22,160533324,160533324,0,XBTUSD
2018-11-23,552094846,552094846,0,XBTUSD
2018-11-24,50687568,50687568,0,XBTUSD
2018-11-25,1828570671,1828570671,0,XBTUSD
2018-11-26,-92453598,-92453598,0,XBTUSD
2018-11-27,1389291719,1389291719,0,XBTUSD
2018-11-28,109587333,109587333,0,XBTUSD
2018-11-29,319704069,319704069,0,XBTUSD
2018-11-30,1108152148,1108152148,0,XBTUSD
2018-12-01,88706892,88706892,0,XBTUSD
2018-12-02,-366336947,-366336947,0,XBTUSD
2018-12-03,467108788,467108788,0,XBTUSD
2018-12-04,728321478,728321478,0,XBTUSD
2018-12-05,190800473,190800473,0,XBTUSD
2018-12-06,637236655,637236655,0,XBTUSD
2018-12-07,1031879570,1031879570,0,XBTUSD
2018-12-08,1147500845,1147500845,0,XBTUSD
2018-12-09,-69337085,-69337085,0,XBTUSD
2018-12-10,263287176,263287176,0,XBTUSD
2018-12-11,-369122526,-369122526,0,XBTUSD
2018-12-12,-179994381,-179994381,0,XBTUSD
2018-12-13,-396678596,-396678596,0,XBTUSD
2018-12-14,641818350,641818350,0,XBTUSD
2018-12-15,707109351,707109351,0,XBTUSD
2018-12-16,330229210,330229210,0,XBTUSD
2018-12-17,395666001,395666001,0,XBTUSD
2018-12-18,-2657595270,-2657595270,0,XBTUSD
2018-12-19,1252902643,1252902643,0,XBTUSD
2018-12-20,151386273,151386273,0,XBTUSD
2018-12-21,851342262,851342262,0,XBTUSD
2018-12-22,588352894,588352894,0,XBTUSD
2018-12-23,-199838693,-199838693,0,XBTUSD
2018-12-24,325323951,325323951,0,XBTUSD
2018-12-25,1261290051,1261290051,0,XBTUSD
2018-12-26,408307823,408307823,0,XBTUSD
2018-12-27,334250426,334250426,0,XBTUSD
2018-12-28,551743744,551743744,0,XBTUSD
2018-12-29,15133352,15133353,-1,XBTUSD
2018-12-30,-58399629,-58399630,1,XBTUSD
2018-12-31,181786921,181786921,0,XBTUSD
2019-01-01,346724781,346724781,0,XBTUSD
