date,symbol,position,kind,quote,reference_contract_price,unrealised_btc,signed_reference_value_usd,missing_reference
2020-03-11,XBTUSD,1500126,inverse,USD,7939.34133477499,3.382442701802559,1500126.0,False
2020-03-12,XBTUSD,2992115,inverse,USD,4959.31341437756,56.801766381308745,2992115.0000000005,False
2020-10-19,XBTUSD,-30000915,inverse,USD,11745.8119675628,-57.5054874730426,-30000915.000000004,False
2020-10-20,XBTUSD,-23265378,inverse,USD,11929.4572507306,-49.13753620245117,-23265378.0,False
2021-05-18,ETHUSD,-50000,quanto,USD,3368.23962887201,2.220643856399498,-7206316.58532905,False
2021-05-18,XBTUSD,-16611060,inverse,USD,42789.8093921683,6.5187943616707615,-16611060.000000002,False
2021-05-19,ETHUSD,120118,quanto,USD,2535.73623553478,1.7157774399666976,11465443.513066562,False
2021-05-19,XBTUSD,-4981,inverse,USD,37642.5200017534,0.006138605777848642,-4980.999999999999,False
2021-06-24,ETHUSD,135099,quanto,USD,1986.66540841613,11.794315011610756,9302347.360499844,False
2021-06-24,ETHUSDM21,-136076,quanto,USD,1986.66540841613,122.46776498436668,-9369619.460006192,False
2021-06-24,XBTU21,40000000,inverse,USD,34658.972875979,-13.478792703628997,40000000.0,False
2021-06-24,XBTUSD,12023900,inverse,USD,34658.972875979,9.07290915003662,12023900.0,False
2021-06-25,ETHUSD,135099,quanto,USD,1817.84698246639,-11.012885515773164,7781129.673044129,False
2021-06-25,XBTU21,40000000,inverse,USD,31683.5032004676,-121.86315751303711,39999999.99999999,False
2021-06-25,XBTUSD,30021800,inverse,USD,31683.5032004676,-61.44170595719604,30021800.000000004,False
2021-10-12,ETHUSD,-320381,quanto,USD,3491.26025043834,-106.58634394568573,-62857308.517954215,False
2021-10-12,XBTUSD,-41418800,inverse,USD,56196.1812597896,-112.21534273198228,-41418800.00000001,False
2021-10-12,XRPUSD,-1039554,quanto,USD,1.10109826561967,-19.47981720359806,-12865004.21109682,False
2021-12-22,XBTUSD,6941200,inverse,USD,48692.0987391584,6.185940283866176,6941200.0,False
2021-12-31,XBTUSD,-29080100,inverse,USD,46355.1173302747,58.11172056271759,-29080100.000000004,False
