posting_date,model_sat,wallet_sat,residual_sat,symbol
2018-06-23,15311266,15311266,0,EOSM18
2018-06-24,1368549,1368549,0,EOSM18
2018-06-25,45655552,45655552,0,EOSM18
2018-06-26,36520010,36520010,0,EOSM18
2018-06-27,-1279493,-1279493,0,EOSM18
2018-06-28,119504647,119504647,0,EOSM18
2018-06-29,-97800120,-97800120,0,EOSM18
