period,calendar_days,active_trade_days,fills,executed_orders_started,xbt_orders_started,xbt_orders_per_calendar_day,xbt_median_order_face_usd,xbt_p90_order_face_usd,xbt_median_order_to_prior_equity,xbt_maker_turnover_share,all_turnover_usd_proxy,alt_turnover_share_proxy,traded_contracts,closed_xbt_episodes,xbt_median_closed_hours,xbt_p90_closed_hours,xbt_reversal_batches,xbt_add_batches,xbt_reduce_batches,btc_short_time_share,btc_long_time_share,median_daily_peak_btc_gross_usd,median_fills_per_order,event
before,30,26,28704,345,323,10.766666666666667,1500000.0,1500000.0,0.370192152087146,0.7072980508490302,455199103.806098,0.006174385631688716,3,12,13.64391205013889,73.20066865158334,12,7765,5572,0.9250265730030864,0.07497342699691359,8000500.0,50.0,2020-03-12
after,30,26,32974,639,625,20.833333333333332,590502.0,1000000.0,0.1898977762478297,0.7105024044686108,431503305.0,0.0,2,37,1.2140582183333333,23.928885970999996,37,8226,7534,0.9422042710389661,0.057795728961033965,6000189.0,30.0,2020-03-12
before,30,25,91469,608,257,8.566666666666666,5000000.0,10000000.0,0.1592914672524869,0.7153371965806727,1811512084.2058682,0.2502018717719797,9,12,23.996750597638886,202.68140382611114,12,16560,12038,0.6770090299340278,0.32299097006597227,27357219.0,97.0,2021-05-19
after,30,30,187208,781,382,12.733333333333333,5000000.0,9323000.00000005,0.11064972809592132,0.8171818326535256,2799618539.616705,0.3591584269028195,10,15,20.051365406944445,127.00978369938889,15,24119,22363,0.6371970935736883,0.36280290642631163,44858592.0,171.0,2021-05-19
