time,symbol,execcomm,lastqty
2018-06-19 20:00:00,XBTUSD,-1,1
2018-06-20 04:00:00,XBTUSD,6,1
2018-06-20 12:00:00,XBTUSD,8,1
2018-06-20 20:00:00,XBTUSD,8,1
2018-06-21 04:00:00,XBTUSD,3,1
2018-06-21 12:00:00,XBTUSD,10,1
2018-06-21 20:00:00,XBTUSD,2,1
2018-06-22 04:00:00,XBTUSD,-1,1
2018-06-22 12:00:00,XBTUSD,2,1
2018-06-22 20:00:00,XBTUSD,-5,1
2018-06-23 04:00:00,XBTUSD,-19,1
2018-06-23 12:00:00,XBTUSD,-37,1
2018-06-23 20:00:00,XBTUSD,-41,1
2018-06-24 04:00:00,XBTUSD,-4463001,445280
2018-06-24 12:00:00,XBTUSD,3842524,306862
2018-06-24 20:00:00,XBTUSD,6490606,199999
2018-06-25 04:00:00,XBTUSD,325942,200001
2018-06-25 12:00:00,XBTUSD,-320878,199999
2018-06-25 20:00:00,XBTUSD,0,1
2018-06-26 04:00:00,XBTUSD,-6,1
2018-06-26 12:00:00,XBTUSD,2,1
2018-06-26 20:00:00,XBTUSD,2,1
2018-06-27 04:00:00,XBTUSD,2,1
2018-06-27 12:00:00,XBTUSD,2,1
2018-06-27 20:00:00,XBTUSD,2,1
2018-06-28 04:00:00,XBTUSD,328142,200001
2018-06-28 12:00:00,XBTUSD,219372,200001
2018-06-28 20:00:00,XBTUSD,328562,200001
2018-06-29 04:00:00,XBTUSD,340422,200001
2018-06-29 12:00:00,XBTUSD,-2,1
2018-06-29 20:00:00,XBTUSD,-1,1
2018-06-30 04:00:00,XBTUSD,-157048,99999
2018-06-30 12:00:00,XBTUSD,-156358,99999
2018-06-30 20:00:00,XBTUSD,2,1
2018-07-01 04:00:00,XBTUSD,2,1
2018-07-01 12:00:00,XBTUSD,2,1
2018-07-01 20:00:00,XBTUSD,2,1
2018-07-02 04:00:00,XBTUSD,2,1
2018-07-02 12:00:00,XBTUSD,2,1
2018-07-02 20:00:00,XBTUSD,2,1
2018-07-03 04:00:00,XBTUSD,2,1
2018-07-03 12:00:00,XBTUSD,-1,1
2018-07-03 20:00:00,XBTUSD,-2,1
2018-07-04 04:00:00,XBTUSD,309302,200001
2018-07-04 12:00:00,XBTUSD,-306938,199999
2018-07-04 20:00:00,XBTUSD,-224459,199999
2018-07-05 04:00:00,XBTUSD,2,1
2018-07-05 12:00:00,XBTUSD,2,1
2018-07-05 20:00:00,XBTUSD,2,1
2018-07-06 04:00:00,XBTUSD,2,1
2018-07-06 12:00:00,XBTUSD,2,1
2018-07-06 20:00:00,XBTUSD,2,1
2018-07-07 04:00:00,XBTUSD,2,1
2018-07-07 12:00:00,XBTUSD,2,1
2018-07-07 20:00:00,XBTUSD,2,1
2018-07-08 04:00:00,XBTUSD,595161,400001
2018-07-08 12:00:00,XBTUSD,297061,200001
2018-07-08 20:00:00,XBTUSD,1,1
2018-07-09 04:00:00,XBTUSD,-1,1
2018-07-09 12:00:00,XBTUSD,1,1
2018-07-09 20:00:00,XBTUSD,1,1
2018-07-10 04:00:00,XBTUSD,2,1
2018-07-10 12:00:00,XBTUSD,628602,400001
2018-07-10 20:00:00,XBTUSD,2,1
2018-07-11 04:00:00,XBTUSD,2,1
2018-07-11 12:00:00,XBTUSD,2,1
2018-07-11 20:00:00,XBTUSD,2,1
2018-07-12 04:00:00,XBTUSD,2,1
2018-07-12 12:00:00,XBTUSD,-1051320,200001
2018-07-12 20:00:00,XBTUSD,323862,200001
2018-07-13 04:00:00,XBTUSD,-48416,45857
2018-07-13 12:00:00,XBTUSD,0,1
2018-07-13 20:00:00,XBTUSD,-741368,200001
2018-07-14 04:00:00,XBTUSD,-2,1
2018-07-14 12:00:00,XBTUSD,2,1
2018-07-14 20:00:00,XBTUSD,-319158,199999
2018-07-15 04:00:00,XBTUSD,-7,1
2018-07-15 12:00:00,XBTUSD,2,1
2018-07-15 20:00:00,XBTUSD,1759959,199999
