exit_year,closed_episodes,win_fraction,net_btc,gross_winning_net_btc,absolute_losing_net_btc,profit_factor,median_hours
2018,1754,0.7782212086659065,173.59040727,398.17009821,224.57969094,1.7729568356934706,0.19673389652777773
2019,433,0.7575057736720554,517.00036795,901.05230496,384.05193701,2.346173051423871,3.373367531111111
2020,277,0.6534296028880866,578.24824041,1998.87566477,1420.62742436,1.4070372220714404,6.187080420833333
2021,125,0.712,737.98351108,2310.4013889,1572.41787782,1.4693303996919318,15.520927042777778
