period,calendar_days,active_trade_days,fills,executed_orders_started,xbt_orders_started,xbt_orders_per_calendar_day,xbt_median_order_face_usd,xbt_p90_order_face_usd,xbt_median_order_to_prior_equity,xbt_maker_turnover_share,all_turnover_usd_proxy,alt_turnover_share_proxy,traded_contracts,closed_xbt_episodes,xbt_median_closed_hours,xbt_p90_closed_hours,xbt_reversal_batches,xbt_add_batches,xbt_reduce_batches,btc_short_time_share,btc_long_time_share,median_daily_peak_btc_gross_usd,median_fills_per_order,xbt_median_fills_per_order
2018,302,261,163142,11854,8805,29.155629139072847,200000.0,350000.0,1.6551116126819678,0.6456227887710158,1676173257.1339722,0.10492665026448095,23,1754,0.19673389652777773,6.385380069611112,945,30035,31417,0.39126411082486356,0.37982090809767444,400000.0,7.0,8.0
2019,365,291,211699,3857,3740,10.246575342465754,700000.0,2000000.0,0.8595588197039721,0.6790846849524709,3223774089.7559295,0.007756160034719552,11,433,3.373367531111111,55.64145751144445,432,44890,47659,0.7177802138421486,0.28171210483793124,2000424.0,31.0,31.0
2020,366,284,315682,3760,3511,9.592896174863387,1500000.0,5000000.0,0.3209753052007262,0.7040533290617607,6736613077.613981,0.010582216433191845,8,277,6.187080420833333,93.79478495961112,260,75256,61156,0.666640124013832,0.3131523832249608,8000896.0,48.0,51.0
2021,365,254,748684,3945,2341,6.413698630136986,5000000.0,10000000.0,0.1523988459350056,0.7707767150469697,16585437863.754913,0.2521524702036478,14,125,15.520927042777778,153.30258794372247,124,115918,96462,0.5383755067023719,0.4594622941590564,44289000.0,107.0,96.0
