time,sample_date,complete_marks,active_contracts,external_flow_btc,btc_index_usd,equity_mark_bod_btc,equity_mark_eod_btc,equity_mark_bod_usd,equity_index_bod_usd,mark_minus_index_equity_usd,gross_mark_value_usd,gross_to_mark_equity_bod,v04_close_equity_btc,mark_minus_v04_btc
2019-04-02,2019-04-01,True,1,0.0,4136.67,187.4620101937376,187.4620101937376,775468.4737081286,774770.8789603771,697.5947477514856,1400834.5947477515,1.8064365506043754,187.1504251113585,0.31158508237911064
2019-05-02,2019-05-01,True,1,0.0,5319.79,165.82453600099288,165.82453600099288,882151.7083727219,881141.9077089385,1009.8006637834478,3001076.8006637837,3.401996246427701,166.12433687169838,-0.29980087070549644
2019-06-02,2019-06-01,True,1,0.0,8556.31,165.31560091814586,165.31560091814586,1414491.5292919406,1415015.1406877136,-523.6113957730122,2800113.388604227,1.9795900722048823,165.43429102269198,-0.11869010454611839
2019-07-02,2019-07-01,True,1,0.0,10577.22,153.8339858161696,153.8339858161696,1627135.9114545053,1627135.9919771946,-0.08052268926985562,445.9194773105162,0.0002740517704583795,153.83402402075504,-3.820458545078509e-05
2019-08-02,2019-08-01,True,1,0.0,10405.73,167.8196485211111,167.8196485211111,1746285.9512055814,1746285.9216233592,0.029582222225144506,591.9704177777778,0.0003389882495298664,167.81961601343144,3.250767966278545e-05
2019-09-02,2019-09-01,True,1,0.0,9763.29,212.22069436435038,212.22069436435038,2071972.1830805186,2071972.2043591626,-0.02127864398062229,423.9787213558683,0.000204625682148645,212.220698116008,-3.7516576298912696e-06
2019-10-02,2019-10-01,True,1,0.0,8321.82,218.91545938687537,218.91545938687537,1821775.0482348872,1821774.9527160078,0.09551887935958803,503.09551887926307,0.0002761567732342755,218.91550074867823,-4.13618028574092e-05
2019-11-02,2019-11-01,True,1,0.0,9253.96,214.74887070210596,214.74887070210596,1987277.4595224604,1987277.434818589,0.024703871458768845,496.9752961287687,0.00025007846475961695,214.74885306248032,1.7639625639276346e-05
2019-12-02,2019-12-01,True,1,0.0,7406.45,324.5199709180326,324.5199709180326,2403540.938605862,2403540.918772495,0.019833367317914963,564.9801666326883,0.00023506159498177577,324.5200842164178,-0.00011329838520168778
2020-01-02,2020-01-01,True,1,0.0,7175.16,378.13859873857535,378.13859873857535,2713204.9481250765,2713204.935381749,0.012743327300995588,253.98725667268712,9.361152641572528e-05,378.13857460810624,2.4130469114425068e-05
2020-02-02,2020-02-01,True,2,0.0,9379.18,432.6551095395257,432.6551095395257,4057950.150290929,4134867.7205120055,-76917.57022107672,7994562.429778923,1.970098728099399,440.6077774236229,-7.952667884097195
