date,symbol,fills,contracts,turnover_usd_proxy,maker_usd_proxy,known_liquidity_usd_proxy,forced_fills,fee_sat
2018-05-07,XBTUSD,176,2420000,2420000.0,1577460.0,2420000.0,0,2204755
2018-05-07,XRPM18,18,319998,287070.74202417413,287070.74202417413,287070.74202417413,0,-1346326
2018-05-09,ADAM18,64,1603720,523717.6176797007,431285.35393285746,523717.6176797007,0,-1040319
2018-05-09,XRPM18,117,1016828,840093.9315803654,730575.3674930636,840093.9315803654,0,-893788
2018-05-11,ADAM18,103,2063128,622608.3888696654,621757.981830846,622608.3888696654,0,-3074666
2018-05-11,XBTUSD,335,6734256,6734256.0,6033493.0,6734256.0,0,-10475344
2018-05-12,XBTUSD,338,10261626,10261626.0,8667036.0,10261626.0,0,-10394629
2018-05-13,XBTUSD,103,1061696,1061696.0,861696.0,1061696.0,0,-683069
2018-05-14,XBTUSD,46,800332,800332.0,800166.0,800332.0,0,-2091543
2018-05-15,XBTUSD,24,561952,561952.0,400326.0,561952.0,0,227400
2018-05-16,XBTUSD,219,6000000,6000000.0,5609201.0,6000000.0,0,-12164980
2018-05-17,XBTUSD,17,359010,359010.0,359010.0,359010.0,0,-966411
2018-05-18,BCHM18,11,80,95181.25349764257,95181.25349764257,95181.25349764257,0,-532035
2018-05-18,ETHM18,5,40,27366.924903991046,13682.65740037159,27366.924903991046,0,305972
2018-05-19,XBTUSD,42,585404,585404.0,400426.0,585404.0,0,447625
2018-05-20,XBTUSD,100,1476884,1476884.0,1476884.0,1476884.0,0,-3946981
2018-05-21,XBTUSD,99,1200000,1200000.0,1164990.0,1200000.0,0,-2808416
2018-05-22,ADAM18,14,200000,49292.77892309814,48058.181323497614,49292.77892309814,0,-224416
2018-05-22,XBTUSD,214,4187434,4187434.0,3787434.0,4187434.0,1,-7038212
2018-05-23,XBTUSD,653,14071678,14071678.0,13371678.0,14071678.0,0,-32759452
2018-05-24,XBTUSD,727,13336316,13336316.0,12815449.0,13336316.0,0,-34962348
2018-05-25,XBTM18,2,2,2.0,0.0,2.0,0,18
2018-05-25,XBTUSD,305,5090003,5090003.0,3913549.0,5090003.0,0,-1440492
2018-05-26,XBTUSD,84,2026475,2026475.0,1426474.0,2026475.0,1,1163815
2018-05-28,XBTUSD,299,2400000,2400000.0,848978.0,2400000.0,0,11800677
2018-05-29,XBTUSD,284,6680436,6680436.0,4921176.0,6680436.0,0,1004488
2018-05-30,XBTUSD,78,1828613,1828613.0,628613.0,1828613.0,0,9091925
2018-05-31,XBTUSD,123,1676546,1676546.0,1140052.0,1676546.0,0,1409449
2018-06-01,XBTUSD,71,1260120,1260120.0,1256207.0,1260120.0,0,-3766459
2018-06-02,XBTUSD,29,328758,328758.0,328758.0,328758.0,0,-967654
2018-06-03,XBTUSD,60,1559132,1559132.0,1224155.0,1559132.0,0,-642735
2018-06-04,ADAM18,3,13000,2887.1924120047297,2887.1924120047297,2887.1924120047297,0,-16867
2018-06-04,XBTM18,28,140000,140000.0,70000.0,140000.0,0,412779
2018-06-04,XBTUSD,368,4987510,4987510.0,4187510.0,4987510.0,0,-5314536
2018-06-05,XBTUSD,300,6633788,6633788.0,5220952.0,6633788.0,0,-2977487
2018-06-06,XBTUSD,261,4016382,4016382.0,1877987.0,4016382.0,0,13462389
2018-06-10,ADAM18,53,1200000,228129.73984031816,190167.53323038245,228129.73984031816,0,-2098
2018-06-10,XBTUSD,223,3901350,3901350.0,3239960.0,3901350.0,1,-4068439
2018-06-11,XBTUSD,52,400062,400062.0,400062.0,400062.0,0,-1316101
2018-06-12,XBTUSD,62,858956,858956.0,858956.0,858956.0,0,-2888447
2018-06-13,XBTUSD,403,7099386,7099386.0,4713847.0,7099386.0,0,8524842
2018-06-14,XBTUSD,425,4770961,4770961.0,4287852.0,4770961.0,0,-9803815
2018-06-15,XBTUSD,157,2977743,2977743.0,1911588.0,2977743.0,0,4373735
2018-06-16,XBTUSD,216,3117822,3117822.0,2550966.0,3117822.0,0,-2964218
2018-06-18,ADAM18,44,520000,83017.20608324444,83017.20608324444,83017.20608324444,0,-579109
2018-06-18,XBTUSD,204,2823854,2823854.0,2342593.0,2823854.0,0,-3031102
2018-06-19,XBTUSD,90,1000002,1000002.0,1000002.0,1000002.0,0,-3327220
2018-06-20,XBTUSD,458,5925944,5925944.0,5440875.0,5925944.0,0,-13518216
2018-06-22,ADAM18,21,402784,62368.07756790343,62368.07756790343,62368.07756790343,0,-417611
2018-06-22,XBTUSD,159,2979516,2979516.0,2467984.0,2979516.0,0,-3313940
2018-06-23,ADAM18,5,300000,40235.58370473409,12713.838493110057,40235.58370473409,0,927502
2018-06-23,EOSM18,43,20000,163796.3841413579,141234.78534159734,163796.3841413579,0,-211086
2018-06-23,XBTU18,10,100000,100000.0,100000.0,100000.0,0,-376826
2018-06-23,XBTUSD,374,6026562,6026562.0,4862179.0,6026562.0,0,-5110565
2018-06-24,EOSM18,46,46169,368118.1044937685,235266.40857191663,368118.1044937685,0,3126659
2018-06-24,XBTUSD,1306,21067550,21067550.0,15972602.0,21067550.0,1,-5654098
2018-06-25,EOSM18,46,19192,154641.83957838922,154641.83957838922,154641.83957838922,0,-1132149
2018-06-25,XBTUSD,580,8874576,8874576.0,6754059.0,8874576.0,0,-1343151
2018-06-26,EOSM18,31,18807,147802.36162714608,130707.04712244937,147802.36162714608,0,-325987
2018-06-26,XBTUSD,50,800000,800000.0,400000.0,800000.0,0,2898353
2018-06-27,ADAM18,1,4000,504.5156166922505,504.5156166922505,504.5156166922505,0,-3724
2018-06-27,EOSM18,89,33300,266906.99292250164,223842.20984620252,266906.99292250164,0,-62842
2018-06-27,XBTUSD,91,1400000,1400000.0,799920.0,1400000.0,0,3733204
2018-06-28,ADAM18,10,296000,37597.8710256011,37597.8710256011,37597.8710256011,0,-275587
2018-06-28,EOSM18,21,7000,55067.92490659813,55067.92490659813,55067.92490659813,0,-403636
2018-06-29,EOSU18,14,15001,108586.36751350647,35983.223632164445,108586.36751350647,0,2511932
2018-06-29,XBTUSD,88,1927958,1927958.0,927958.0,1927958.0,0,7913212
2018-06-30,EOSU18,61,30000,239512.45276703607,239124.07552498137,239512.45276703607,0,-1715675
2018-06-30,XBTUSD,301,5300000,5300000.0,3709894.0,5300000.0,0,3659758
2018-07-02,EOSU18,22,15000,129267.88539263095,123927.60882790104,129267.88539263095,0,-687762
2018-07-02,XBTUSD,71,1200000,1200000.0,900000.0,1200000.0,0,-24496
2018-07-03,XBTUSD,494,5628734,5628734.0,3277561.0,5628734.0,0,12966763
2018-07-04,EOSU18,36,20000,175373.6857418601,175373.6857418601,175373.6857418601,0,-1214424
2018-07-04,XBTUSD,468,5972370,5972370.0,4418416.0,5972370.0,0,964950
2018-07-05,XBTUSD,59,1672834,1672834.0,1001986.0,1672834.0,0,3447733
2018-07-06,EOSU18,18,15000,129840.04101541356,129840.04101541356,129840.04101541356,0,-894025
2018-07-07,XBTUSD,89,2400000,2400000.0,1844813.0,2400000.0,0,-577478
2018-07-08,XBTUSD,137,2000000,2000000.0,1800000.0,2000000.0,0,-3997162
2018-07-09,EOSU18,27,37394,295613.3001448967,289486.4689785669,295613.3001448967,0,-1737275
2018-07-09,XBTUSD,37,1200000,1200000.0,600000.0,1200000.0,0,3960456
2018-07-10,EOSU18,80,60000,460795.17682573147,407329.53692604887,460795.17682573147,0,-945352
2018-07-10,XBTUSD,131,3581080,3581080.0,2913160.0,3581080.0,0,-3131495
2018-07-11,EOSU18,32,34384,243043.7099781174,243043.7099781174,243043.7099781174,0,-1733512
2018-07-11,XBTUSD,28,840882,840882.0,640441.0,840882.0,0,-140369
2018-07-12,EOSU18,10,10000,69752.74011689154,69752.74011689154,69752.74011689154,0,-492139
2018-07-12,XBTUSD,115,1600000,1600000.0,1200000.0,1600000.0,0,-24686
