period,calendar_days,active_trade_days,fills,executed_orders_started,xbt_orders_started,xbt_orders_per_calendar_day,xbt_median_order_face_usd,xbt_p90_order_face_usd,xbt_median_order_to_prior_equity,xbt_maker_turnover_share,all_turnover_usd_proxy,alt_turnover_share_proxy,traded_contracts,closed_xbt_episodes,xbt_median_closed_hours,xbt_p90_closed_hours,xbt_reversal_batches,xbt_add_batches,xbt_reduce_batches,btc_short_time_share,btc_long_time_share,median_daily_peak_btc_gross_usd,median_fills_per_order,lagged_regime
2018,130,113,92824,5667,4958,38.13846153846154,144630.0,350000.0,1.2345561442343187,0.6028344362051181,863465011.6142316,0.03967951469183403,13,984,0.20309263208333328,6.115972747888895,606,18497,19136,0.3587064491311432,0.45396198021599,500000.5,8.0,down_30d_lt_minus10pct
2018,131,111,58634,4440,2498,19.068702290076335,200000.0,300000.0,2.0786524373864514,0.6775353915663124,594126335.5671084,0.22090473811740963,16,507,0.2242246116666666,8.149602586277785,240,8935,8899,0.4924256759015408,0.32261580729793965,200166.0,7.0,range_30d_within10pct
2018,41,37,11684,1747,1349,32.90243902439025,200000.0,250000.0,1.8352587564295535,0.7448327035979248,218581909.9526323,0.04743324804362425,12,263,0.1716573794444444,4.8449568824444444,99,2603,3382,0.17127218387703252,0.32751673320460706,496370.0,3.0,up_30d_gt10pct
2019,84,63,44705,456,452,5.380952380952381,1517896.5,2474298.000000001,0.83657461827397,0.6224846627030701,597051363.1023318,0.009310375029457842,2,35,19.634953043611112,126.54961787400008,35,9667,7814,0.7050203712883045,0.2948816450690311,2000503.0,53.5,down_30d_lt_minus10pct
2019,141,109,58463,891,852,6.042553191489362,600000.0,2000000.0,0.8837526605620504,0.6341312281194327,784622094.1246755,0.00898141943420183,4,112,10.799198712777777,83.65950473458335,111,11077,13190,0.6734420332002725,0.3253021295246421,1500054.0,35.0,range_30d_within10pct
2019,140,119,108531,2510,2436,17.4,700000.0,1600000.0,0.8385647057771735,0.7165193779358662,1842100632.528922,0.006730531063279176,11,286,1.2451956405555555,24.896935445555556,286,24146,26655,0.7700910013066303,0.2299089986933697,2000874.0,27.0,up_30d_gt10pct
2020,46,39,51810,862,848,18.434782608695652,1000000.0,1934869.2000000062,0.2286653524743013,0.7052218443903517,834036857.0,0.0,2,55,1.331848481111111,24.116552734833334,50,13661,12032,0.9329764982965981,0.06474804390926933,6000874.0,34.0,down_30d_lt_minus10pct
2020,121,84,68238,747,740,6.115702479338843,1500000.0,3000000.0,0.3975842454203303,0.6635346055406836,1384462006.1574183,0.0029416821402863474,4,67,7.943748294444444,129.53819701283334,67,17769,13428,0.6849850028541092,0.3150149971458907,6000874.0,55.0,range_30d_within10pct
2020,199,161,195634,2151,1923,9.663316582914574,1500000.0,5000000.0,0.3463613319620954,0.7164462825281549,4518114214.456564,0.014876925917785402,8,155,10.099618014166667,90.83019141322221,143,43826,35696,0.5939205081511143,0.36943993761736926,9000715.0,53.0,up_30d_gt10pct
2021,90,59,286694,1277,670,7.444444444444445,5000000.0,10000000.0,0.12460163269027903,0.8028734982509641,5040706350.982878,0.31965230441735576,11,35,13.286131770833332,127.00978369938893,35,39964,36029,0.4304998606400463,0.5695001393599537,35777366.5,150.0,down_30d_lt_minus10pct
2021,106,73,246311,973,478,4.509433962264151,5000000.0,10000000.0,0.16828398986947973,0.7242077964759736,4046150704.062892,0.293590459166552,10,26,35.873384780555554,199.70706375569443,26,30491,24245,0.4775336973210387,0.5224663026789613,50004000.0,132.0,range_30d_within10pct
2021,169,122,215679,1695,1193,7.059171597633136,5000000.0,10000000.0,0.15623350300458277,0.7745840609281615,7498580808.709143,0.18441816098094424,6,64,13.782002790694445,129.58434983930564,63,45463,36188,0.6339852104895355,0.36134495113425924,40006500.0,70.0,up_30d_gt10pct
