date,symbol,minutes,valid_minutes,basis_median_bps,basis_p01_bps,basis_p99_bps,max_abs_basis_bps,last_mark_abs_p99_bps,is_future
2019-04-01,XBTUSD,1440,1440,-1.9798514187030491,-9.597574291750743,-0.04841005558218203,9.897012989527054,18.46331077958134,False
2019-05-01,XBTUSD,1440,1440,-2.4674313290612426,-6.685042580572187,-0.0565124549796292,6.888296671032634,17.400416516875215,False
2019-06-01,XBTUSD,1440,1440,0.5868446303047836,0.011713207834662676,3.608057911704287,3.7143707481002153,16.427333437017182,False
2019-07-01,XBTUSD,1440,1440,0.9370613496917368,0.017934031954291996,14.114062670089607,14.550018084769079,46.71240036266246,False
2019-08-01,XBTUSD,1440,1440,0.5005183021278281,0.010012373404744146,0.989911450510883,1.0027123368705482,15.03449901913291,False
2019-09-01,XBTUSD,1440,1440,0.5003229453803826,0.010385900173459639,0.9914835011370471,1.0016056991357658,13.249000606945094,False
2019-10-01,XBTUSD,1440,1440,0.09593626008164158,-3.65757385949933,0.9311472270187239,3.7741564039250886,20.70700636204346,False
2019-11-01,XBTUSD,1440,1440,0.5032617093281289,0.0109094865501147,0.9907364158996623,1.0029327517058206,9.734871929176387,False
2019-12-01,XBTUSD,1440,1440,-0.09574469546025366,-0.5220496932371477,0.6659950929120528,0.6924671790908832,16.993281919678626,False
2020-01-01,XBTUSD,1440,1440,0.5010344322897708,0.013873895579763484,0.9882327371864896,1.003059330959566,9.076345685937536,False
2020-02-01,XBTH20,1440,1440,227.6276293640811,215.610558115435,243.26129801398403,258.4980871612408,10.402470737648697,True
2020-02-01,XBTUSD,1440,1440,0.650986778568674,0.010719164670636161,2.742824510148556,2.8353405404479837,12.63355896782176,False
2020-03-01,XBTUSD,1440,1440,0.5030507691239361,0.011596951617542928,0.990930243231624,1.0051108719077995,15.665741529870232,False
2020-04-01,XBTUSD,1440,1440,-1.775671115680777,-5.713231041869871,-0.03805143245869819,5.896822987807582,19.648964912961592,False
2020-05-01,XBTUSD,1440,1440,0.5011777929886385,0.011469113698958644,0.9881985966845751,1.0020374762031992,11.264572370630175,False
2020-06-01,XBTUSD,1440,1440,0.5017131513196382,0.010474461402854018,0.992503329896155,1.0045644899014938,55.55112432420808,False
2020-07-01,XBTUSD,1440,1440,0.10966728061667652,-0.3170252866487977,0.9837854585759143,1.0045762817356696,9.66805386896354,False
2020-08-01,XBTUSD,1440,1440,1.2697848356979513,0.025964883283302598,6.092897950796215,6.28422890025071,18.48355085895134,False
2020-09-01,XBTUSD,1440,1440,0.6262682016500154,0.016734584707633893,2.4571020465456335,2.5273394949865136,13.515055055852656,False
2020-10-01,XBTUSD,1440,1440,0.4985406202440146,-0.6012092610784836,0.9915705675640041,1.0001349238608626,14.277631110017168,False
2020-11-01,XBTUSD,1440,1440,0.0,-0.4388824433272376,0.6776419024209446,0.6999242477823131,11.684629831024191,False
2020-12-01,XBTUSD,1440,1440,2.1103239217890035,0.07185212804261543,5.732237108090698,5.9116410839443745,21.468927221199475,False
2021-01-01,XBTUSD,1440,1440,0.5002366479978093,0.011590113379411628,0.9908257218538274,1.0008027127961228,15.625687730156956,False
2021-01-01,XRPH21,1440,1440,-1697.8776529338325,-1760.1043024771834,-1513.4914953655173,1783.8541666666663,329.43410534945673,True
2021-01-01,XRPUSD,1440,1440,0.0,0.0,0.0,0.0,36.326270292874426,False
2021-02-01,XBTUSD,1440,1440,0.50056454822478,0.009995581284805157,0.9899622526029048,1.00140999716114,16.313782609530247,False
2021-02-01,XRPUSD,1440,1440,6.0745963980146644,0.0,14.03661013781201,126.44647099394612,138.58814365492725,False
2021-03-01,ETHUSD,1440,1440,3.566882601184762,0.06723561603456663,7.557779395777397,7.749969065249385,27.47799245328021,False
