date,execid,orderid,symbol,side,lastqty,lastpx,exectype,cumqty,execcost,execcomm,transacttime,timestamp,source_row,source_file,time,fill_count,batch_key
2021-12-24,4daa2740-c380-5396-b6bd-3b7c3d30ff78,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,33300,51084.0,Trade,384400,65186748,26074,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292204,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,2bf5ab56-af6c-6400-0614-e899ba0360a0,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,42900,51084.0,Trade,427300,83979324,33591,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292205,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,a00b311e-0663-914c-1199-810882961a38,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,6100,51083.5,Trade,433400,11941238,4776,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292206,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,aabe76a7-763a-0b2f-3ebd-fad96e271322,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,52600,51083.5,Trade,486000,102968708,41187,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292207,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,5a9ac124-f4e2-62b6-a4ce-ed0295a917ea,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,28300,51082.5,Trade,514300,55400646,22160,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292208,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,51f515f5-e3fd-a9d9-50ac-91e0bbfe4126,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,300,51081.5,Trade,514600,587298,234,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292209,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,c3eb57bf-e644-4380-a1ac-6ab73c0bd422,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,33400,51081.0,Trade,548000,65386512,26154,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292210,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,2a1a6bf0-36ac-88df-0f9c-66b6fc0deead,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,600,51080.0,Trade,548600,1174626,469,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292211,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,9d71829d-e772-6f1c-6431-6172cfe6d389,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,47400,51080.0,Trade,596000,92795454,37118,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292212,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,40c81078-6453-4f8c-409e-2140e70aaf2c,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,9900,51079.5,Trade,605900,19381527,7752,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292213,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,a7bdf4e7-2ef1-487c-7626-60fc1e8b7bc9,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,124700,51079.5,Trade,730600,244128931,97651,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292214,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,f0b7d061-3541-f88f-1511-e5c37926237a,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,46800,51079.0,Trade,777400,91622700,36649,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292215,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,8120dc36-e178-2285-3d55-e4d943729de9,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,126500,51078.5,Trade,903900,247657905,99063,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292216,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,591e4e9c-32f1-c67f-f513-6220cf7c46b0,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,6100,51077.5,Trade,910000,11942641,4777,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292217,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
2021-12-24,2ba0fabe-b7f1-f957-2dbf-dc90734edc5b,7623ce3f-8206-4be4-8ad0-b3a312832fb8,XBTUSD,Sell,58500,51077.5,Trade,968500,114531885,45812,2021-12-24 03:28:15.683307,2021-12-24 03:28:15.683307,292218,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-24 03:28:15.683307,1,7623ce3f-8206-4be4-8ad0-b3a312832fb8
