posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period
2018-03-05,True,-1910004,-1910004.0,0.0,0.0,True
2018-03-06,True,-6358364,-6358364.0,0.0,0.0,True
2018-03-07,True,-1547227,-1547227.0,0.0,0.0,True
2018-03-08,True,4735248,4735248.0,0.0,0.0,True
2018-03-09,True,3630907,3630907.0,0.0,0.0,True
2018-03-10,True,-6403106,-6403105.999999993,7.450580596923828e-09,7.450580596923828e-09,True
2018-03-11,True,-3507086,-3507086.0,0.0,7.450580596923828e-09,True
2018-03-12,True,4152832,4152831.888888888,-0.1111111119389534,-0.1111111044883728,True
2018-03-13,True,-21090265,-21090265.409239955,-0.4092399552464485,-0.5203510597348213,True
2018-03-14,True,-31394156,-31394155.47964835,0.5203516483306885,5.885958671569824e-07,True
2018-03-15,True,32075933,32075933.000000052,5.21540641784668e-08,6.407499313354492e-07,True
2018-03-16,True,49775425,49775425.00000049,4.917383193969727e-07,1.1324882507324219e-06,True
2018-03-17,True,22969383,22969383.000000075,7.450580596923828e-08,1.2069940567016602e-06,True
2018-03-18,False,0,0.0,0.0,1.2069940567016602e-06,True
2018-03-19,True,8837371,8837370.999999933,-6.705522537231445e-08,1.1399388313293457e-06,True
2018-03-20,True,116909836,116909836.00000015,1.4901161193847656e-07,1.2889504432678223e-06,True
2018-03-21,True,-244125250,-244125250.10095695,-0.10095694661140442,-0.10095565766096115,True
2018-03-22,True,48534757,48534757.10095449,0.10095448791980743,-1.169741153717041e-06,True
2018-03-23,False,0,0.0,0.0,-1.169741153717041e-06,True
2018-03-24,False,0,0.0,0.0,-1.169741153717041e-06,True
2018-03-25,False,0,0.0,0.0,-1.169741153717041e-06,True
2018-03-26,False,0,0.0,0.0,-1.169741153717041e-06,True
2018-03-27,False,0,0.0,0.0,-1.169741153717041e-06,True
2018-03-28,False,0,0.0,0.0,-1.169741153717041e-06,True
2018-03-29,True,-4377354,-4377353.595238018,0.40476198215037584,0.4047608124092221,True
2018-03-30,True,83256038,83256037.59524006,-0.40475994348526,8.689239621162415e-07,True
2018-03-31,True,36407160,36407159.99999961,-3.8743019104003906e-07,4.814937710762024e-07,True
2018-04-01,True,-39384601,-39384600.99999842,1.5795230865478516e-06,2.061016857624054e-06,True
2018-04-02,True,-57338557,-57338557.00000306,-3.0621886253356934e-06,-1.0011717677116394e-06,True
2018-04-03,True,-38825229,-38825229.00000015,-1.4901161193847656e-07,-1.150183379650116e-06,True
2018-04-04,True,3698744,3698744.0000001714,1.7136335372924805e-07,-9.78820025920868e-07,True
2018-04-05,True,10228935,10228934.99999997,-2.9802322387695312e-08,-1.0086223483085632e-06,True
2018-04-06,True,24791006,24791006.000000004,3.725290298461914e-09,-1.0048970580101013e-06,True
2018-04-07,True,-3974904,-3974904.0,0.0,-1.0048970580101013e-06,True
2018-04-08,True,54105,54105.0,0.0,-1.0048970580101013e-06,True
2018-04-09,True,27955181,27955181.0,0.0,-1.0048970580101013e-06,True
2018-04-10,True,13478235,13478235.0,0.0,-1.0048970580101013e-06,True
2018-04-11,False,0,0.0,0.0,-1.0048970580101013e-06,True
2018-04-12,True,632753,632753.0,0.0,-1.0048970580101013e-06,True
2018-04-13,True,4633657,4633656.666666776,-0.33333322405815125,-0.33333422895520926,True
2018-04-14,True,56330627,56330627.33333403,0.3333340287208557,-2.0023435354232788e-07,True
2018-04-15,True,-74601730,-74601729.999999,9.98377799987793e-07,7.981434464454651e-07,True
2018-04-16,True,45716144,45716144.000003435,3.4347176551818848e-06,4.23286110162735e-06,True
2018-04-17,True,99587101,99587100.99999905,-9.5367431640625e-07,3.2791867852211e-06,True
2018-04-18,True,86710942,86710942.00000133,1.3262033462524414e-06,4.605390131473541e-06,True
2018-04-19,True,-120570108,-120570108.00000101,-1.0132789611816406e-06,3.5921111702919006e-06,True
2018-04-20,True,37481502,37481501.99999489,-5.111098289489746e-06,-1.5189871191978455e-06,True
2018-04-21,True,37951682,37951681.9999982,-1.8030405044555664e-06,-3.322027623653412e-06,True
2018-04-22,True,7038462,7038461.999999806,-1.9371509552001953e-07,-3.5157427191734314e-06,True
2018-04-23,True,8980670,8980669.999999655,-3.4458935260772705e-07,-3.8603320717811584e-06,True
2018-04-24,True,84361648,84361648.000001,9.98377799987793e-07,-2.8619542717933655e-06,True
2018-04-25,True,-6876912,-6876912.0000015665,-1.5664845705032349e-06,-4.4284388422966e-06,True
2018-04-26,True,170204947,170204947.00000086,8.642673492431641e-07,-3.5641714930534363e-06,True
2018-04-27,True,1718121,1718121.0,0.0,-3.5641714930534363e-06,True
2018-04-28,True,54595876,54595875.99999959,-4.0978193283081055e-07,-3.973953425884247e-06,True
2018-04-29,True,-1731985,-1731984.9999999963,3.725290298461914e-09,-3.970228135585785e-06,True
2018-04-30,True,496625,496625.0000000056,5.587935447692871e-09,-3.964640200138092e-06,True
2018-05-01,False,0,0.0,0.0,-3.964640200138092e-06,True
2018-05-02,True,3889155,3889155.0,0.0,-3.964640200138092e-06,True
2018-05-03,False,0,0.0,0.0,-3.964640200138092e-06,True
2018-05-04,True,-20595195,-20595194.999984458,1.5541911125183105e-05,1.1577270925045013e-05,True
2018-05-05,False,0,0.0,0.0,1.1577270925045013e-05,True
2018-05-06,True,2585069,2585069.0,0.0,1.1577270925045013e-05,True
2018-05-07,True,12949628,12949628.000000495,4.954636096954346e-07,1.2072734534740448e-05,True
2018-05-08,False,0,0.0,0.0,1.2072734534740448e-05,True
2018-05-09,False,0,0.0,0.0,1.2072734534740448e-05,True
2018-05-10,False,0,0.0,0.0,1.2072734534740448e-05,True
2018-05-11,False,0,0.0,0.0,1.2072734534740448e-05,True
