posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period
2018-07-20,True,115292225,115292201,-24,1,True
2018-07-21,True,21447729,21447728,-1,0,True
2018-07-22,True,15042001,15042001,0,0,True
2018-07-23,True,46321979,46321978,-1,-1,True
2018-07-24,True,-44722304,-44722292,12,11,True
2018-07-25,True,216232316,216232305,-11,0,True
2018-07-26,True,171900817,171900825,8,8,True
2018-07-27,True,240601570,240601562,-8,0,True
2018-07-28,True,16741018,16741017,-1,-1,True
2018-07-29,True,51932142,51932143,1,0,True
2018-07-30,True,26134395,26134386,-9,-9,True
2018-07-31,True,86560261,86560269,8,-1,True
2018-08-01,True,-510750372,-510750376,-4,-5,True
2018-08-02,True,221385233,221385238,5,0,True
2018-08-03,True,-60946973,-60946979,-6,-6,True
2018-08-04,True,37291896,37291901,5,-1,True
2018-08-05,True,-387063998,-387064011,-13,-14,True
2018-08-06,True,51604310,51604319,9,-5,True
2018-08-07,True,265547497,265547502,5,0,True
2018-08-08,True,29095989,29095957,-32,-32,True
2018-08-09,True,170312384,170312415,31,-1,True
2018-08-10,True,584261957,584261956,-1,-2,True
2018-08-11,True,22213193,22213195,2,0,True
2018-08-12,True,259149072,259149071,-1,-1,True
2018-08-13,True,-58431577,-58431576,1,0,True
2018-08-14,True,-198376088,-198376088,0,0,True
2018-08-15,True,98569561,98569561,0,0,True
2018-08-16,True,-20375663,-20375663,0,0,True
2018-08-17,True,194483409,194483413,4,4,True
2018-08-18,True,-144932353,-144932357,-4,0,True
2018-08-19,True,72706073,72706072,-1,-1,True
2018-08-20,True,-15679569,-15679568,1,0,True
2018-08-21,True,10983213,10983213,0,0,True
2018-08-22,True,13078942,13078942,0,0,True
2018-08-23,True,83769947,83769948,1,1,True
2018-08-24,True,34947615,34947615,0,1,True
2018-08-25,True,-168554728,-168554728,0,1,True
2018-08-26,True,68477557,68477556,-1,0,True
2018-08-27,True,-32545738,-32545737,1,1,True
2018-08-28,True,-248604448,-248604448,0,1,True
2018-08-29,True,102134998,102134997,-1,0,True
2018-08-30,True,-80589940,-80589941,-1,-1,True
2018-08-31,True,159776184,159776184,0,-1,True
2018-09-01,True,-3748490,-3748489,1,0,True
2018-09-02,True,50478088,50478088,0,0,True
2018-09-03,True,115584915,115584918,3,3,True
2018-09-04,True,249434,249434,0,3,True
2018-09-05,True,589982143,589982133,-10,-7,True
2018-09-06,True,-1193728792,-1193728774,18,11,True
2018-09-07,True,67712863,67712853,-10,1,True
2018-09-08,True,-18,-18,0,1,True
2018-09-09,True,112002682,112002669,-13,-12,True
2018-09-10,True,296431088,296431100,12,0,True
2018-09-11,True,34934613,34934613,0,0,True
2018-09-12,True,-11,-11,0,0,True
2018-09-13,True,-2704472,-2704472,0,0,True
2018-09-14,True,-64805896,-64805896,0,0,True
2018-09-15,True,70591382,70591383,1,1,True
2018-09-16,True,-24,-24,0,1,True
2018-09-17,True,-1,-1,0,1,True
2018-09-18,True,-2,-2,0,1,True
2018-09-19,True,-5,-5,0,1,True
2018-09-20,True,2,2,0,1,True
2018-09-21,True,-5,-5,0,1,True
2018-09-22,True,-482,-483,-1,0,True
2018-09-23,False,0,0,0,0,True
2018-09-24,True,-10184494,-10184493,1,1,True
2018-09-25,True,636,635,-1,0,True
2018-09-26,True,-6,-6,0,0,True
2018-09-27,True,3,3,0,0,True
2018-09-28,True,-5,-5,0,0,True
2018-09-29,True,-5,-5,0,0,True
2018-09-30,True,-6,-6,0,0,True
2018-10-01,True,-9,-9,0,0,True
2018-10-02,True,-6,-6,0,0,True
2018-10-03,True,-6,-6,0,0,True
2018-10-04,True,-6,-6,0,0,True
2018-10-05,True,-11,-11,0,0,True
2018-10-06,True,-15,-15,0,0,True
2018-10-07,True,-6,-6,0,0,True
2018-10-08,True,-6,-6,0,0,True
2018-10-09,True,-9,-9,0,0,True
2018-10-10,True,15845686,15845686,0,0,True
2018-10-11,True,79215698,79215699,1,1,True
2018-10-12,True,116350407,116350406,-1,0,True
2018-10-13,True,21205615,21205615,0,0,True
2018-10-14,True,-14,-14,0,0,True
2018-10-15,True,481478131,481478130,-1,-1,True
2018-10-16,True,-28732731,-28732730,1,0,True
2018-10-17,True,18178667,18178667,0,0,True
2018-10-18,True,3,3,0,0,True
2018-10-19,True,24937575,24937575,0,0,True
2018-10-20,True,6,6,0,0,True
2018-10-21,True,6,6,0,0,True
2018-10-22,True,6,6,0,0,True
2018-10-23,True,6,6,0,0,True
2018-10-24,True,6,6,0,0,True
2018-10-25,True,6,6,0,0,True
2018-10-26,True,6,6,0,0,True
2018-10-27,True,7,7,0,0,True
2018-10-28,True,6,6,0,0,True
2018-10-29,True,6,6,0,0,True
2018-10-30,True,14250219,14250219,0,0,True
2018-10-31,True,16,16,0,0,True
2018-11-01,True,6,6,0,0,True
2018-11-02,True,6,6,0,0,True
2018-11-03,True,6,6,0,0,True
2018-11-04,True,6,6,0,0,True
2018-11-05,True,6,6,0,0,True
2018-11-06,True,20,20,0,0,True
2018-11-07,True,13,13,0,0,True
2018-11-08,True,7,7,0,0,True
2018-11-09,True,-319,-319,0,0,True
2018-11-10,True,-33,-33,0,0,True
2018-11-11,True,-10,-10,0,0,True
2018-11-12,True,-6,-6,0,0,True
2018-11-13,True,-12,-12,0,0,True
2018-11-14,True,-32,-32,0,0,True
2018-11-15,True,25472681,25472681,0,0,True
2018-11-16,True,73,73,0,0,True
2018-11-17,True,29,29,0,0,True
2018-11-18,True,-43129923,-43129924,-1,-1,True
2018-11-19,True,22147179,22147180,1,0,True
2018-11-20,True,69828837,69828835,-2,-2,True
2018-11-21,True,77877150,77877153,3,1,True
2018-11-22,True,160533324,160533323,-1,0,True
2018-11-23,True,552094846,552094846,0,0,True
2018-11-24,True,50687568,50687568,0,0,True
2018-11-25,True,1828570671,1828570672,1,1,True
2018-11-26,True,-92453598,-92453596,2,3,True
2018-11-27,True,1389291719,1389291720,1,4,True
2018-11-28,True,109587333,109587328,-5,-1,True
2018-11-29,True,319704069,319704070,1,0,True
2018-11-30,True,1108152148,1108152149,1,1,True
2018-12-01,True,88706892,88706891,-1,0,True
2018-12-02,True,-366336947,-366336947,0,0,True
2018-12-03,True,467108788,467108789,1,1,True
2018-12-04,True,728321478,728321483,5,6,True
2018-12-05,True,190800473,190800467,-6,0,True
2018-12-06,True,637236655,637236655,0,0,True
2018-12-07,True,1031879570,1031879590,20,20,True
2018-12-08,True,1147500845,1147500825,-20,0,True
2018-12-09,True,-69337085,-69337085,0,0,True
2018-12-10,True,263287176,263287176,0,0,True
2018-12-11,True,-369122526,-369122534,-8,-8,True
2018-12-12,True,-179994381,-179994373,8,0,True
2018-12-13,True,-396678596,-396678595,1,1,True
2018-12-14,True,641818350,641818380,30,31,True
2018-12-15,True,707109351,707109320,-31,0,True
2018-12-16,True,330229210,330229210,0,0,True
2018-12-17,True,395666001,395666007,6,6,True
2018-12-18,True,-2657595270,-2657595276,-6,0,True
2018-12-19,True,1252902643,1252902643,0,0,True
2018-12-20,True,151386273,151386273,0,0,True
2018-12-21,True,851342262,851342277,15,15,True
2018-12-22,True,588352894,588352880,-14,1,True
2018-12-23,True,-199838693,-199838693,0,1,True
2018-12-24,True,325323951,325323950,-1,0,True
2018-12-25,True,1261290051,1261290051,0,0,True
2018-12-26,True,408307823,408307823,0,0,True
2018-12-27,True,334250426,334250426,0,0,True
2018-12-28,True,551743744,551743744,0,0,True
2018-12-29,True,15133353,15133363,10,10,True
2018-12-30,True,-58399630,-58399640,-10,0,True
2018-12-31,True,181786921,181786922,1,1,True
2019-01-01,True,346724781,346724781,0,1,True
2019-01-02,True,52389179,52389179,0,1,True
2019-01-03,True,39295750,39295750,0,1,True
2019-01-04,True,-8034,-8034,0,1,True
2019-01-05,True,-18379762,-18379762,0,1,True
2019-01-06,True,-3832,-3832,0,1,True
2019-01-07,True,68467444,68467443,-1,0,True
2019-01-08,True,96365811,96365811,0,0,True
2019-01-09,True,1720,1720,0,0,True
2019-01-10,True,-174751764,-174751764,0,0,True
2019-01-11,True,525140523,525140537,14,14,True
2019-01-12,True,671283205,671283191,-14,0,True
2019-01-13,True,-6334886,-6334886,0,0,True
2019-01-14,True,613799304,613799295,-9,-9,True
2019-01-15,True,703652698,703652727,29,20,True
2019-01-16,True,534823274,534823255,-19,1,True
2019-01-17,True,189612127,189612126,-1,0,True
2019-01-18,True,-11435410,-11435410,0,0,True
2019-01-19,True,-5465510,-5465510,0,0,True
2019-01-20,True,7025163,7025163,0,0,True
2019-01-21,True,680653805,680653815,10,10,True
2019-01-22,True,292986997,292986987,-10,0,True
2019-01-23,True,3117609,3117609,0,0,True
2019-01-24,True,20294104,20294104,0,0,True
2019-01-25,True,-5377,-5377,0,0,True
2019-01-26,True,-15785,-15785,0,0,True
2019-01-27,True,181479994,181480017,23,23,True
2019-01-28,True,460163510,460163526,16,39,True
2019-01-29,True,448714313,448714275,-38,1,True
2019-01-30,True,253488796,253488795,-1,0,True
2019-01-31,True,-24585762,-24585758,4,4,True
2019-02-01,True,71855889,71855885,-4,0,True
2019-02-02,True,250493252,250493234,-18,-18,True
2019-02-03,True,-34444616,-34444599,17,-1,True
2019-02-04,True,847,847,0,-1,True
2019-02-05,True,864,864,0,-1,True
2019-02-06,True,990,990,0,-1,True
2019-02-07,True,-482,-482,0,-1,True
2019-02-08,True,102040922,102040922,0,-1,True
2019-02-09,True,131518626,131518626,0,-1,True
2019-02-10,True,-93579258,-93579257,1,0,True
2019-02-11,True,129161528,129161528,0,0,True
2019-02-12,True,4634696,4634689,-7,-7,True
2019-02-13,True,193741983,193741991,8,1,True
2019-02-14,True,360,360,0,1,True
2019-02-15,True,-3981052,-3981052,0,1,True
2019-02-16,True,8390261,8390261,0,1,True
2019-02-17,True,-546386671,-546386655,16,17,True
2019-02-18,True,202066302,202066285,-17,0,True
2019-02-19,True,-261475265,-261475265,0,0,True
2019-02-20,True,148211857,148211870,13,13,True
2019-02-21,True,144115784,144115770,-14,-1,True
2019-02-22,True,93575877,93575878,1,0,True
2019-02-23,True,68974857,68974857,0,0,True
2019-02-24,True,3279962,3279962,0,0,True
2019-02-25,True,363281948,363281949,1,1,True
2019-02-26,True,-225928335,-225928328,7,8,True
2019-02-27,True,70040758,70040773,15,23,True
2019-02-28,True,5442618,5442595,-23,0,True
2019-03-01,True,150115796,150115796,0,0,True
2019-03-02,True,165586972,165586973,1,1,True
2019-03-03,True,-12881,-12881,0,1,True
2019-03-04,True,17284750,17284749,-1,0,True
2019-03-05,True,61999064,61999063,-1,-1,True
2019-03-06,True,655487065,655487070,5,4,True
2019-03-07,True,216823346,216823342,-4,0,True
2019-03-08,True,-93127743,-93127742,1,1,True
2019-03-09,True,-16637993,-16637993,0,1,True
2019-03-10,True,-17558297,-17558297,0,1,True
2019-03-11,True,-33167943,-33167944,-1,0,True
2019-03-12,True,834330462,834330462,0,0,True
