date,execid,orderid,symbol,side,lastqty,lastpx,exectype,cumqty,execcost,execcomm,transacttime,timestamp,source_row,source_file,time,net_credit_sat,assigned_posting_date
2021-12-31,6ed70d3a-f793-cc9a-5b02-6b5e14c73541,00000000-0000-0000-0000-000000000000,XBTUSD,,29080100,47977.72,Funding,29080100,60611652430,-2848748,2021-12-31 12:00:00.0,2021-12-31 12:00:00.00198,293253,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-31 12:00:00,2848748,2022-01-01
2021-12-31,4cec1a71-7bce-924f-5669-af0296a7aab6,00000000-0000-0000-0000-000000000000,XBTUSD,,29080100,45707.97,Funding,29080100,63621442780,890700,2021-12-31 20:00:00.0,2021-12-31 20:00:00.000426,293251,aoa-execution-2021-07-01-2021-12-31.csv,2021-12-31 20:00:00,-890700,2022-01-01
