date,price_usd,return_1d,return_7d,return_30d,return_90d,rv30_ann,drawdown,usdt_usd,synthetic_btc_usdt,lagged_regime,wallet_realised_btc,wallet_ledger_btc,orders,contracts,maker_contracts,case_date
2020-03-10,7909.92787545295,0.0017150322626038,-0.0979474613533333,-0.2207799189983965,0.0985302315951197,0.611749963004594,-0.5972647191203204,1.00020834365609,7908.280235435314,down_30d_lt_minus10pct,2.9341447,418.15862102,15,19005260,18209375,2020-03-13
2020-03-11,7939.34133477499,0.0037185496233562,-0.0933067329639457,-0.1958012239763246,0.1037825634881175,0.6089682184119828,-0.595767127993293,1.00018819334289,7937.847484721489,down_30d_lt_minus10pct,11.38727681,429.54589783,13,10908906,9576807,2020-03-13
2020-03-12,4959.31341437756,-0.3753495151221997,-0.4527724089468337,-0.517211257115749,-0.3154755941538515,1.713307750055532,-0.7474957404974647,0.994969548051919,4984.387134347528,down_30d_lt_minus10pct,-22.48469416,407.06120367,75,76162443,54339679,2020-03-13
2020-03-13,5627.69238836938,0.1347724812176864,-0.3847556514356667,-0.4567935391495475,-0.2041285308645842,1.7893885296325514,-0.7134651149262734,1.01020459647268,5570.844171586162,down_30d_lt_minus10pct,275.53795475,632.58715842,179,69387852,49136746,2020-03-13
2020-03-14,5145.17250642899,-0.0857402730358187,-0.421780735207639,-0.4973207120030025,-0.2764779785683159,1.8052637063877024,-0.7380326942067816,1.00205707851242,5134.610210096149,down_30d_lt_minus10pct,-31.30713645,601.28002197,0,0,0,2020-03-13
2020-03-15,5358.61066335476,0.0414831877180161,-0.3392274520364781,-0.4828402419486907,-0.2214032986892166,1.814919973616999,-0.7271654552845788,0.997192710587848,5373.696183755538,down_30d_lt_minus10pct,-9.21922351,592.06079846,34,17320268,15114264,2020-03-13
2020-03-16,5012.92738778492,-0.0645098696820464,-0.3651617563330169,-0.494242654214203,-0.241495502156142,1.8200436107454736,-0.7447659762089309,1.00489257007593,4988.520700681608,down_30d_lt_minus10pct,-20.8059466,571.25485186,53,41246264,29278318,2020-03-13
2020-10-18,11489.6225650497,0.0111610098641523,0.0097870862364295,0.0521523659358773,0.2533417387195815,0.3215898815003346,-0.4150039742717855,1.00064679625342,11482.195923745188,range_30d_within10pct,-0.01559162,649.41243466,0,0,0,2020-10-21
2020-10-19,11745.8119675628,0.0222974602570849,0.017094176185483,0.060686815811455,0.2510751398393855,0.3266668310093082,-0.4019600486375579,1.0004745596517,11740.24052310928,range_30d_within10pct,-0.20609193,649.20634273,4,15000607,7359335,2020-10-21
2020-10-20,11929.4572507306,0.0156349585430921,0.0432435343821457,0.0923192945777799,0.2516142112566037,0.3248126545921981,-0.3926097187908934,1.00096520140184,11917.9540247988,range_30d_within10pct,0.25897881,649.46532154,6,22224391,10336534,2020-10-21
2020-10-21,12848.4906177674,0.0770389924470802,0.1253717219436223,0.2288879662043041,0.3371076804416917,0.3692702088408292,-0.3458169835043951,1.00222346657437,12819.985807839772,range_30d_within10pct,-146.1261631,503.33915844,38,124665306,102791086,2020-10-21
2020-10-22,12997.4993417884,0.0115973718979056,0.1299637074218542,0.235522629103078,0.3612654195145097,0.3696147713346774,-0.3382301797728019,1.00113957598157,12982.704563492023,up_30d_gt10pct,19.5695635,522.90872194,15,37049231,30301847,2020-10-21
2020-10-23,12953.4296969608,-0.0033906248939679,0.1423797818322167,0.2658116387543836,0.3350675315503149,0.3501677978826221,-0.3404739929993409,1.00071834900978,12944.131293063969,up_30d_gt10pct,-14.71446158,508.19426036,0,0,0,2020-10-21
2020-10-24,13113.8669231444,0.0123856947493405,0.1541050061615698,0.221139283825908,0.3201117658541597,0.3190630809518783,-0.3323053051973793,1.00097638160017,13101.075274304128,up_30d_gt10pct,-0.23143688,507.96282348,0,0,0,2020-10-21
2021-05-17,43492.3954833431,-0.0549754581292518,-0.2220014721646359,-0.2785042580253553,-0.1149357589213344,0.8201006083852008,-0.3144935311739605,1.00044249678551,43473.15875034011,down_30d_lt_minus10pct,72.22792116,580.41386782,23,109679923,89496525,2021-05-20
2021-05-18,42789.8093921683,-0.0161542284200895,-0.2441579204774847,-0.2411749457876539,-0.180663297686383,0.7953653388495314,-0.3255673592548254,1.00067343074226,42761.012811570814,down_30d_lt_minus10pct,45.33903866,625.75290648,25,92828745,65422672,2021-05-20
2021-05-19,37642.5200017534,-0.120292412224603,-0.2615110692500023,-0.3253803446930869,-0.2712009869640658,0.8971683976151174,-0.4066964884930715,1.00203487025131,37566.07790736132,down_30d_lt_minus10pct,13.22889782,638.9818043,71,314362123,283969560,2021-05-20
2021-05-20,40799.4021475745,0.0838647929435663,-0.1735761154676864,-0.2775590160245635,-0.2690964980826092,0.9515065543492938,-0.3569392123478522,1.00193997720631,40720.40548909396,down_30d_lt_minus10pct,-281.83947272,357.14233158,49,194822815,176374462,2021-05-20
2021-05-21,37174.3311014027,-0.0888510825001711,-0.2564746537013739,-0.311915207286694,-0.3345306199472531,0.9875834324444602,-0.4140758594441582,1.00173608883694,37109.90500957567,down_30d_lt_minus10pct,18.16820321,375.31053479,5,18471909,16633886,2021-05-20
2021-05-22,37643.4197983635,0.0126186183601055,-0.1998926811811819,-0.27444245784078,-0.3453399827897202,0.985962269780668,-0.4066823063265112,1.00110726766418,37601.78455820674,down_30d_lt_minus10pct,124.13423318,499.44476797,0,0,0,2021-05-20
2021-05-23,34774.207221917,-0.0762208266893763,-0.2444086171018934,-0.3175494337947909,-0.3554621072553752,1.0144358339420518,-0.4519054714277386,1.00152236060783,34721.34880824061,down_30d_lt_minus10pct,-11.62552037,487.8192476,4,10131000,9866013,2021-05-20
