date,account_net_sat,xbtusd_net_sat,other_net_sat,cumulative_sat,drawdown_sat
2018-07-05,10110916,10110916,0,1666497037,0
2018-07-06,599025,-6,599031,1667096062,0
2018-07-07,294988,-6,294994,1667391050,0
2018-07-08,48093208,48093208,0,1715484258,0
2018-07-09,3814925,3814925,0,1719299183,0
2018-07-10,-77710455,45877477,-123587932,1641588728,-77710455
2018-07-11,-18626149,70508250,-89134399,1622962579,-96336604
2018-07-12,-13600159,728715,-14328874,1609362420,-109936763
2018-07-13,73325320,86021262,-12695942,1682687740,-36611443
2018-07-14,92494847,77534088,14960759,1775182587,0
2018-07-15,2934778,4191320,-1256542,1778117365,0
2018-07-16,8860860,-65904904,74765764,1786978225,0
2018-07-17,85131297,51618085,33513212,1872109522,0
2018-07-18,-478460196,-504218655,25758459,1393649326,-478460196
2018-07-19,412651060,249581814,163069246,1806300386,-65809136
2018-07-20,177399674,115292225,62107449,1983700060,0
2018-07-21,-246103513,21447729,-267551242,1737596547,-246103513
2018-07-22,27340749,15042001,12298748,1764937296,-218762764
2018-07-23,65973027,46321979,19651048,1830910323,-152789737
2018-07-24,275459545,-44722304,320181849,2106369868,0
2018-07-25,224464377,216232316,8232061,2330834245,0
2018-07-26,81439139,171900817,-90461678,2412273384,0
2018-07-27,229222686,240601570,-11378884,2641496070,0
2018-07-28,17424890,16741018,683872,2658920960,0
2018-07-29,45823124,51932142,-6109018,2704744084,0
2018-07-30,55686038,26134395,29551643,2760430122,0
2018-07-31,87992395,86560261,1432134,2848422517,0
2018-08-01,-669560552,-510750372,-158810180,2178861965,-669560552
2018-08-02,221830313,221385233,445080,2400692278,-447730239
2018-08-03,-60767600,-60946973,179373,2339924678,-508497839
2018-08-04,19698841,37291896,-17593055,2359623519,-488798998
2018-08-05,-342807889,-387063998,44256109,2016815630,-831606887
2018-08-06,48893910,51604310,-2710400,2065709540,-782712977
2018-08-07,265536045,265547497,-11452,2331245585,-517176932
2018-08-08,-22606319,29095989,-51702308,2308639266,-539783251
2018-08-09,193632820,170312384,23320436,2502272086,-346150431
2018-08-10,617946861,584261957,33684904,3120218947,0
2018-08-11,22213193,22213193,0,3142432140,0
2018-08-12,259497436,259149072,348364,3401929576,0
2018-08-13,-58324450,-58431577,107127,3343605126,-58324450
2018-08-14,-184925955,-198376088,13450133,3158679171,-243250405
2018-08-15,278784106,98569561,180214545,3437463277,0
2018-08-16,-7163975,-20375663,13211688,3430299302,-7163975
2018-08-17,194483409,194483409,0,3624782711,0
2018-08-18,-14448697,-144932353,130483656,3610334014,-14448697
2018-08-19,93143313,72706073,20437240,3703477327,0
2018-08-20,-15679569,-15679569,0,3687797758,-15679569
2018-08-21,10983213,10983213,0,3698780971,-4696356
2018-08-22,13078942,13078942,0,3711859913,0
2018-08-23,83769947,83769947,0,3795629860,0
2018-08-24,34947615,34947615,0,3830577475,0
2018-08-25,-168554728,-168554728,0,3662022747,-168554728
2018-08-26,68477557,68477557,0,3730500304,-100077171
2018-08-27,-32545738,-32545738,0,3697954566,-132622909
2018-08-28,-248604448,-248604448,0,3449350118,-381227357
2018-08-29,112470754,102134998,10335756,3561820872,-268756603
2018-08-30,-80589940,-80589940,0,3481230932,-349346543
2018-08-31,159776184,159776184,0,3641007116,-189570359
2018-09-01,-3748490,-3748490,0,3637258626,-193318849
2018-09-02,50478088,50478088,0,3687736714,-142840761
2018-09-03,115584915,115584915,0,3803321629,-27255846
