episode_id,start,end,closed,direction,gross_sat,trade_fee_sat,funding_credit_sat,entry_contracts,exit_contracts,entry_cost_sat,exit_cost_sat,peak_contracts,opening_batches,closing_batches,net_sat,duration_hours,entry_harmonic_usd,exit_harmonic_usd
23,2018-03-08 02:31:48.112765,2018-03-08 03:12:43.040266,True,long,345000,209778,0,15000,15000,155565000,155220000,15000,1,1,135222,0.6819243058333334,9642.271719217048,9663.703131039814
24,2018-03-08 03:20:15.276712,2018-03-08 03:22:22.878716,True,long,215800,209397,0,15000,15000,155220000,155004200,15000,1,1,6403,0.03544500111111111,9663.703131039814,9677.157135096984
25,2018-03-08 03:32:39.133287,2018-03-08 03:34:27.641938,True,short,170000,139785,0,10000,10000,103460000,103630000,10000,1,1,30215,0.030141291944444443,9665.571235260004,9649.715333397664
26,2018-03-08 03:35:44.730075,2018-03-08 03:36:52.000555,True,short,-160000,139925,0,10000,10000,103730000,103570000,10000,1,1,-299925,0.018686244444444448,9640.412609659694,9655.305590421936
27,2018-03-08 03:42:35.917330,2018-03-08 03:44:25.623684,True,short,-60000,139711,0,10000,10000,103520000,103460000,10000,1,1,-199711,0.030473987222222224,9659.969088098918,9665.571235260004
28,2018-03-08 03:50:28.992007,2018-03-08 03:51:13.951500,True,short,326272,140035,0,10000,10000,103570000,103896272,10000,1,1,186237,0.012488748055555556,9655.305590421936,9624.984426775198
29,2018-03-08 03:58:41.754451,2018-03-08 04:02:23.044689,True,short,-580000,211880,-77143,15000,15000,157240000,156660000,15000,2,1,-869023,0.06146951055555555,9539.557364538285,9574.875526618154
30,2018-03-08 04:05:37.192401,2018-03-08 04:10:32.294106,True,long,-170000,210666,0,15000,15000,155965000,156135000,15000,2,1,-380666,0.08197269583333333,9617.542397332734,9607.070804111827
31,2018-03-08 04:11:28.945187,2018-03-08 04:30:37.751276,True,long,2205000,279209,0,20000,20000,207925000,205720000,20000,3,1,1925791,0.31911280249999996,9618.8529517855,9721.952167995334
32,2018-03-08 04:31:06.462490,2018-03-08 05:02:00.899680,True,long,1355000,277283,0,20000,20000,206075000,204720000,20000,4,1,1077717,0.5151214416666667,9705.20441586801,9769.441187964048
33,2018-03-08 08:03:49.664932,2018-03-08 08:19:30.949852,True,short,-120000,135863,0,10000,10000,100700000,100580000,10000,1,1,-255863,0.26146803333333335,9930.486593843098,9942.334460131238
34,2018-03-08 08:20:51.867539,2018-03-08 08:24:05.307229,True,short,840000,136401,0,10000,10000,100620000,101460000,10000,1,1,703599,0.053733247222222225,9938.382031405286,9856.100926473488
35,2018-03-09 05:15:24.341111,2018-03-09 05:49:16.663947,True,long,-2290000,156498,0,10000,10000,114780000,117070000,10000,1,1,-2446498,0.5645341211111111,8712.319219376199,8541.898009737764
36,2018-03-09 05:50:48.917714,2018-03-09 06:30:12.449429,True,long,3830000,237282,0,15000,15000,177680000,173850000,15000,2,1,3592718,0.6565365875,8442.14317874831,8628.127696289905
37,2018-03-09 06:58:50.645272,2018-03-09 06:59:11.975194,True,short,-90839,153106,0,10000,10000,113460000,113369161,10000,1,1,-243945,0.005924978333333333,8813.67882954345,8820.74094206272
38,2018-03-09 07:08:43.313202,2018-03-09 07:14:13.943000,True,short,-920000,153656,0,10000,10000,114280000,113360000,10000,1,1,-1073656,0.09184161055555555,8750.437521876094,8821.453775582217
39,2018-03-09 07:15:59.607689,2018-03-09 07:41:35.613585,True,short,590000,153838,0,10000,10000,113660000,114250000,10000,1,1,436162,0.4266683044444444,8798.169980644027,8752.7352297593
40,2018-03-09 07:45:25.861115,2018-03-09 07:57:52.023828,True,long,180000,232205,0,15000,15000,172095000,171915000,15000,2,1,-52205,0.20726742027777778,8716.116098666434,8725.242125468982
41,2018-03-09 08:02:38.925286,2018-03-09 09:06:17.057098,True,long,890000,129141,0,15000,15000,172805000,171915000,15000,4,1,760859,1.06059217,8680.304389340587,8725.242125468982
42,2018-03-09 09:07:52.386269,2018-03-09 09:30:47.587491,True,long,-285000,233896,0,15000,15000,173115000,173400000,15000,3,1,-518896,0.38200033944444445,8664.760419374405,8650.519031141868
